DGFiP,Direction générale des Finances publiques
Taux de satisfaction des usagers en 2025,82 % (baromètre Delouvrier)
Label obtenu par la plateforme téléphonique de la DGFiP,Services publics + argent
Part des dossiers de contrôle fiscal relevant de la fraude,Un peu plus de 34 %
Dossiers transmis à la Justice en 2025,"2 138 dossiers, dont 282 plaintes pour fraude fiscale"
Taux de décisions de justice favorables à l'administration,93 %
URF,Unité de renseignement fiscal créée le 1er janvier 2025 avec la Douane
Part des rectifications internationales en contrôle fiscal externe,16.71 % du total
Rehaussements liés à la fraude fiscale internationale en 2025,6.5 milliards d'euros
Date d'obligation d'émission électronique pour les grandes entreprises,1er septembre 2026
Date d'obligation d'émission électronique pour les PME et TPE,1er septembre 2027
Nombre de plateformes agréées au 31 décembre 2025,101 plateformes
Nombre d'acteurs fédérés par l'AFNOR pour la réforme,200 acteurs
Assistant IA de la DGFiP,"Lancé en octobre 2025, expérimenté par 3 000 agents"
Langage clair,Outil IA testé par 500 agents de 32 services pour simplifier le vocabulaire technique
Part des contrôles professionnels programmés par IA,56 %
Site Rejoindre les Finances publiques,2.7 millions d'internautes en 2025
Effectif total de la DGFiP en 2025,94 569 agents
Part de femmes primo-nommées en emplois de direction,40.4 %
Droits et pénalités mis en recouvrement en 2025,17.1 milliards d'euros
Individualisation du taux de prélèvement à la source,Appliquée par défaut depuis septembre 2025
Effet de l'ancien taux commun sur le conjoint le moins payé,"+6 points, dans 75 % des cas une femme"
Nombre de foyers concernés par l'individualisation du taux,"16 millions de foyers, 30 millions de contribuables"
Décharge de solidarité fiscale entre ex-conjoints,"Instituée en 2024, met fin à la solidarité fiscale en cas de violences conjugales"
Montant des amendes recouvrées en 2025,1 601.7 millions d'euros
Nombre de saisies administratives à tiers détenteur (SATD) en 2025,Près de 19 millions
Certification du compte général de l'État,19e année consécutive par la Cour des comptes
Solde budgétaire de l'État en 2025,-129.5 milliards d'euros
CGF,"Centre de gestion financière, structure intégrant ordonnateur et comptable"
Nombre de CGF actifs fin 2025,"46 centres, environ 1 000 agents"
CFU,"Compte financier unique, remplace le compte de gestion et le compte administratif"
Partenariats signés avec le secteur public local (nov 2024 à oct 2025),506 partenariats
COM 2023-2027,Cadre d'objectifs et de moyens en 7 axes 18 objectifs et 48 chantiers
Programme de rénovation des cités administratives,"36 cités, 1 milliard d'euros de 2018 à 2026"
Baisse du parc immobilier de la DGFiP depuis 2018,562 704 m²
Évaluations domaniales réalisées par la DNID en 2025,80 873 évaluations pour 48.8 milliards d'euros d'actifs
Réduction des émissions de gaz à effet de serre de la DGFiP (2019-2024),17 %
