DGCCRF,Direction générale de la Concurrence de la Consommation et de la Répression des fraudes
Trois axes de l'ordre public économique,"Protection des consommateurs, régulation concurrentielle, lutte contre les fraudes"
Effectif de la DGCCRF en 2025,2 938 agents
Part de femmes à la DGCCRF,Près de 60 %
Plan stratégique de la DGCCRF,"2025-2028, 4 axes et 15 chantiers opérationnels"
Établissements contrôlés en 2025,Près de 58 000 établissements et sites internet
Taux de suites correctives/répressives en 2025,25.8 % (contre 21 % en 2023)
Montant cumulé des amendes et transactions en 2025,"Plus de 200 millions d'euros, +150 % depuis 2023"
Amende infligée à Shein en 2025,41 millions d'euros
PNE,"Programme national d'enquêtes, 118 enquêtes en 2025"
Loi contre les fraudes,"Adoptée le 30 juin 2025, renforce les pouvoirs d'enquête de la DGCCRF"
SignalConso,"Plateforme de signalement, plus de 1.5 million de signalements fin 2025"
RéponseConso,Centre d'appel téléphonique et de réponse écrite aux consommateurs
Mode de vente en tête des signalements 2025,Internet (plus de 207 000 signalements)
Nombre de plateformes de e-commerce contrôlées en 2025,30 grandes plateformes
Taux de produits dangereux prélevés sur internet (2023 vs 2025),De 25 % à 45 %
Services cloud visés par des enquêtes de la Commission européenne,Amazon Web Services et Microsoft Azure
DMA,"Digital Market Act, règlement européen sur les grandes plateformes numériques"
BQP,"Bouclier Qualité Prix, dispositif issu de la loi Lurel de 2012 pour les DROM"
Nombre de références du BQP à La Réunion,175 références (68 % alimentaires)
Protocole contre la vie chère en Martinique,"Signé le 16 octobre 2024, 69 familles de produits sur 36 mois"
Conventions commerciales analysées en 2025,Plus de 1 400 conventions auprès de 210 fournisseurs
Baisse des délais de traitement (délais de paiement),Plus de 35 % entre 2024 et 2025
Marchés publics analysés en 2025,"Plus de 5 700, représentant 41 milliards d'euros"
Protocole avec l'ADEME (fin 2025),Renforce la lutte contre les fraudes en rénovation énergétique
Suites engagées pour l'occasion/reconditionné (2024-2025),30 % des 340 établissements contrôlés
Cellule Data-IA,Cellule créée par la DGCCRF pour la donnée et l'intelligence artificielle
ENCCRF,"École nationale de la CCRF, 160 inspecteurs et 32 contrôleurs formés en 2024-2025"
CNC,"Conseil national de la consommation, rôle consultatif"
Entrée en vigueur de l'interdiction du démarchage sans consentement,Août 2026
