CGefi,"Contrôle général économique et financier, préserve les intérêts patrimoniaux de l'État"
Contrôleur général,Cadre expert exerçant un contrôle et un accompagnement permanent d'un organisme public
Effectif du CGefi en 2025,171 collaborateurs dont 104 contrôleurs généraux
Nombre de missions de contrôle en 2025,16 missions
Nombre d'organismes contrôlés,451 organismes
Cheffe du CGefi,Véronique Nativelle
Adjointe à la Cheffe du CGefi,Sylvie Ravalet (depuis mai 2025)
Évolution des candidats par poste (2024 à 2025),D'environ 6 à plus de 8
Avis rendus par la CIASSP en 2025,"74 avis (47 sur les politiques salariales, 27 sur l'intéressement)"
CIASSP,"Commission interministérielle d'audit salarial du secteur public, créée en 1953"
FIVA,"Fonds d'indemnisation des Victimes de l'Amiante, accompagné par le CGefi face à son déficit"
INC,"Institut national de la consommation, actif 60 millions de consommateurs évalué par le CGefi"
EPABE,Établissement Public d'Aménagement Bordeaux Euratlantique
CEF info,"Lettre d'information mensuelle créée en 2025, référent doctrine désigné en septembre 2025"
Diffusion de CEF info (février 2026),400 destinataires
Enquêtes de fiabilité comptable (EFC) en 2025,"110 organismes concernés, 100 % réalisées dans les délais"
Partenariat CGefi-DAE,"59 organismes déjà contrôlés, 14 nouveaux identifiés"
France Simplification,"Dispositif interministériel, 442 dossiers résolus sur 551 (80 %)"
Panel CIASSP en 2025,"49 organismes, 453 000 salariés, 22 milliards d'euros de masse salariale"
Gain net de pouvoir d'achat 2025 (CIASSP),1.99 %
Plafond de l'intéressement,4 % du total des salaires bruts versés
Mission Agriculture et développement durable,"10 contrôleurs généraux, 124 organismes, 271 milliards d'euros"
Mission Aménagement des territoires,"37 organismes et filiales, 15.71 milliards d'euros de produits"
Jours de formation au CGefi en 2025,"726 jours, soit 4.45 jours par agent"
Dispositif de mobilité des contrôleurs généraux,La cohorte
Abonnés LinkedIn du CGefi fin 2025,Plus de 3 000
Délégation étrangère accueillie en septembre 2025,Comité des contrôleurs d'État de Tunisie
Enjeu transverse prioritaire pour 2026,La cybersécurité des organismes contrôlés
Excédent dégagé par le COJOP 2024,75 millions d'euros
