Que signifie le sigle AFA ?;Agence française anticorruption;Autorité française d'audit;Autorité fédérale des achats;Agence française des affaires;2;Elle est placée auprès du ministre de la Justice et du ministre chargé du Budget.
Par quelle loi l'AFA a-t-elle été créée ?;La loi PACTE de 2019;La loi Sapin II du 9 décembre 2016;La loi industrie verte de 2023;La loi narcotrafic de 2025;3;Cette loi est relative à la transparence, à la lutte contre la corruption et à la modernisation de la vie économique.
Combien d'infractions composent les atteintes à la probité selon l'AFA ?;Trois;Six;Quatre;Huit;3;Corruption, trafic d'influence, prise illégale d'intérêts, favoritisme, détournement de fonds publics, concussion.
Depuis quand l'AFA est-elle réorganisée en deux sous-directions ?;Depuis le 9 décembre 2016;Depuis le 1er décembre 2024;Depuis le 1er janvier 2025;Depuis le 14 mars 2017;3;L'une est dédiée aux acteurs publics, l'autre aux acteurs économiques.
Quel département a été créé lors de la réorganisation de l'AFA pour objectiver le phénomène corruptif ?;L'Observatoire des atteintes à la probité;Le pôle ressources;Le Conseil stratégique;La Commission des sanctions;2;Il analyse les décisions de justice recueillies auprès des juridictions.
Combien d'agents l'AFA comptait-elle au 31 décembre 2025 ?;27;18;60;175;4;67 % sont des agents titulaires de la fonction publique.
Quel est le budget annuel de fonctionnement de l'AFA ?;Environ 350 000 euros;Environ 35 millions d'euros;Environ 3,5 millions d'euros;Environ 35 000 euros;2;Ces crédits sont inscrits au programme budgétaire 218.
Selon l'Eurobaromètre 2025, quel pourcentage des Français estiment que la corruption est répandue en France ?;11 %;33 %;46 %;68 %;5;Ce chiffre est en légère baisse par rapport à 2024.
Combien de décisions de justice l'Observatoire des atteintes à la probité a-t-il analysées depuis 2021 ?;60;242;1 455;1 125;4;Cela permet d'objectiver le phénomène corruptif.
Que mesure l'indice de perception de la corruption (CPI) construit par Transparency International ?;La perception de la corruption dans chaque pays;Le nombre de contrôles réalisés;Le nombre exact de faits de corruption;Le montant des amendes prononcées;2;Il agrège huit sources différentes.
Combien d'infractions d'atteinte à la probité ont été enregistrées par la police et la gendarmerie en 2025 ?;1 125;620;451;968;2;Contre 620 en 2016, la hausse étant portée par les faits de corruption.
Quelle affaire explique la quasi-totalité de la hausse des condamnations judiciaires en 2024-2025 ?;L'affaire Imerys;L'affaire Urgo;L'affaire Shein;L'affaire Beauvoir;3;Elle concerne le non-respect de la loi anti-cadeaux dans le secteur pharmaceutique.
Quand le Plan national pluriannuel de lutte contre la corruption (PNPLC) 2025-2029 a-t-il été publié ?;En novembre 2025;En décembre 2024;En janvier 2025;En avril 2026;2;C'est le deuxième plan de ce type prévu par le décret du 14 mars 2017.
Quelle loi de 2025 a renforcé les compétences de l'AFA dans les zones portuaires et aéroportuaires ?;La loi sur le statut de l'élu local;La loi visant à sortir la France du piège du narcotrafic (13 juin 2025);La loi industrie verte;La loi Sapin II;3;Elle instaure aussi une circonstance aggravante de bande organisée pour la corruption privée.
Avec quel organisme l'AFA copréside-t-elle le groupe de travail contre la criminalité organisée ?;La DGCCRF;L'OCLCIFF;Tracfin;L'ANSSI;3;Ce groupe se réunit à un rythme trimestriel depuis septembre 2023.
De combien le nombre de signalements reçus par l'AFA a-t-il évolué entre 2024 et 2025 ?;Il a baissé de moitié;Il a presque triplé (802 à 2 257);Il a doublé;Il est resté stable;3;89 % proviennent du formulaire internet.
Quel pourcentage des signalements reçus en 2025 étaient recevables ?;50 %;89 %;11 % (242 signalements);25 %;4;La majorité ne relève pas du champ de compétence de l'AFA.
Combien de contrôles d'acteurs publics l'AFA a-t-elle engagés en 2025 ?;119;18;27;10;3;Portant à 119 le total depuis 2018.
Depuis quand l'AFA mène-t-elle un programme de contrôle des grandes collectivités territoriales ?;Depuis 2017;Depuis 2016;Depuis 2022;Depuis 2025;2;37 contrôles ont eu lieu sur la période récente 2022-2025.
Combien d'actions de sensibilisation l'AFA a-t-elle conduites auprès des acteurs publics en 2025 ?;242;18;107;60;4;C'est près de deux fois plus qu'en 2024.
Avec quelle fédération l'AFA a-t-elle publié un guide de déontologie pour les entreprises publiques locales ?;Le CNFPT;L'OCLCIFF;L'AMF;La FedEpl;5;Cette fédération représente 13 000 élus locaux.
Combien de contrôles d'acteurs économiques ont été ouverts par l'AFA depuis 2017 ?;175;27;60;119;2;10 nouveaux contrôles ont été ouverts en 2025.
Combien de conventions judiciaires d'intérêt public (CJIP) ont été conclues pour atteintes à la probité depuis 2017 ?;119;10;27;175;4;Leur suivi a été structuré en 2025 par la création d'un pôle dédié.
Quels secteurs ont été annoncés comme prioritaires pour les contrôles de l'AFA en 2025-2026 ?;Le tourisme et le commerce;La santé et les activités en milieu pénitentiaire;Le numérique et les télécommunications;L'agriculture et la pêche;3;Cette annonce a été faite lors des premiers rendez-vous de l'AFA en février 2025.
Quelle conférence internationale sur la lutte contre la corruption s'est tenue à Doha en décembre 2025 ?;La COP sur le climat;Le Forum mondial de l'OCDE sur la commande publique;La 11e conférence des États Partis à la Convention de Mérida;Le sommet Choose France;4;L'action de l'AFA y a été saluée, comme dans le cadre du GRECO.
Au titre de quel article de la loi Sapin II les grandes entreprises doivent-elles mettre en place un dispositif anticorruption ?;L'article 17;L'article 3;L'article 40;L'article 58;2;Il concerne les entreprises de plus de 500 salariés et 100 millions d'euros de chiffre d'affaires.
Quel comité interministériel travaille en lien étroit avec l'AFA sur le contrôle et l'audit internes de l'État ?;Le CICAI;Le CICO;Le CNC;Le CGE;2;L'AFA en est membre de droit.
