"Guide 13 questions ?","ANSSI et DGE, v2.0 octobre 2022 (ANSSI-GP-086), complète le guide d'hygiène."
"Q1 Inventaire ?","Équipements, logiciels, données, traitements, accès, interconnexions ; au moins annuel."
"Q2 Sauvegardes ?","En ligne + hors ligne ; règle 3-2-1 ; tests de restauration ; chiffrement."
"Q3 Mises à jour ?","Correctifs au plus vite, mise à jour auto, remplacer ce qui n'est plus maintenu."
"Q4 Antivirus ?","Première ligne de défense ; base de signatures à jour ; scan automatique."
"Q5 Mots de passe ?","9 car. peu critique, 15 car. critique ; unique par service ; coffre-fort ; MFA."
"Types d'attaques sur les mots de passe ?","Force brute, dictionnaire, ingénierie sociale, bases dérobées."
"Q6 Pare-feu ?","TPE : pare-feu local qui bloque l'entrant. PME : filtrage minimal, journaux, DMZ."
"Q7 Messagerie ?","Vérifier l'expéditeur, autre canal si doute, pas de redirection perso, TLS, relais."
"Q8 Séparer les usages ?","Compte utilisateur sans admin, admin dédiée, un compte par usage, révocation au départ."
"Q9 Nomadisme ?","Filtre écran, chiffrement, verrouillage < 5 min, pas d'USB public, 4G/5G, VPN full tunneling."
"Q10 Sensibiliser ?","Cybermalveillance.gouv.fr, CERT-FR, charte, déclaration non coercitive."
"Q11 Assurance cyber ?","Usurpation, perte d'exploitation, juridique, restauration ; vérifier les exclusions."
"Q12 Réagir ?","Déconnecter d'Internet, ne pas éteindre, ne pas payer, main courante, plainte, CNIL."
"Q13 Cloud ?","IaaS/PaaS/SaaS ; configurer ; TPE : 2FA, sauvegardes, alertes, HTTPS."
"SecNumCloud ?","Visa ANSSI : sécurité + protection contre les lois extracommunautaires."
"ExpertCyber ?","Label de prestataires de proximité, via Cybermalveillance.gouv.fr."
"Message clé ?","Pas de risque zéro, mais quelques mesures réduisent fortement le risque."
