Quel est le volume de recrutement prévu par la DGFiP sur la période 2023-2027 ?;10 000 agents;15 000 agents;20 000 agents;25 000 agents;4;La DGFiP prévoit de recruter près de 20 000 nouveaux agents pour compenser les départs à la retraite et les moindres suppressions d'emplois.
Quel est l'objectif cible de satisfaction pour l'accompagnement par un conseiller mobilité-carrière en 2027 ?;75 %;85 %;92 %;98 %;4;L'objectif 10 fixe un taux de satisfaction de 92 % pour les agents ayant rencontré un conseiller mobilité-carrière.
Quel pourcentage de femmes primo-nommées dans les emplois de direction est visé pour 2027 ?;30 %;40 %;45 %;50 %;4;L'objectif 11 vise à promouvoir la mixité avec 45 % de femmes primo-nommées dans les emplois de direction.
Quel outil de gestion RH doit voir sa fiabilité augmenter de 20 % d'ici 2027 ?;Le SIRH;La GPEEC;Le bilan social;La paye;3;La Gestion Prévisionnelle des Emplois, des Effectifs et des Compétences (GPEEC) doit permettre de mieux anticiper les besoins en recrutement.
Quelle est la politique de la DGFiP face aux incivilités et agressions envers les agents ?;La médiation systématique;La tolérance zéro;Le droit de réserve;L'ignorance;3;La DGFiP applique une tolérance zéro en signalant les faits au procureur et en accompagnant les dépôts de plainte.
Quel type d'espaces de travail doit être présent dans 100 % des directions en 2027 ?;Bureaux individuels;Espaces innovants (flex-office/coworking);Open-spaces de 50 personnes;Cabines insonorisées;3;L'objectif 12 prévoit que toutes les directions territoriales disposent d'au moins un espace de travail innovant.
Quelle part des agents de la DGFiP télétravaillent chaque semaine (chiffre 2023) ?;1 sur 10;2 sur 10;4 sur 10;6 sur 10;4;Le document indique que près de 4 agents sur 10 télétravaillent chaque semaine.
Sur quelle modalité la formation continue va-t-elle s'appuyer davantage ?;Le présentiel exclusif;Le numérique et le distanciel;Les séminaires résidentiels;L'auto-formation sans support;3;L'offre de formation sera renforcée en distanciel et s'appuiera plus fortement sur le numérique.
Quel est l'indicateur cible pour l'attractivité des concours en 2027 ?;2 candidats par poste;3,5 candidats par poste;5,3 candidats par poste;8 candidats par poste;4;L'objectif est d'atteindre 5,3 candidats par poste ouvert par concours pour garantir un vivier de qualité.
Quel outil numérique collaboratif est annoncé pour le printemps 2023 ?;Un réseau social externe;Un portail collaboratif;Un nouveau logiciel comptable;Une application mobile RH;3;Un portail collaboratif offrant coédition de documents et visioconférence doit être déployé.
Quelle mesure est envisagée pour faciliter la promotion de corps (C vers B, B vers A) ?;Suppression de la période d'essai;Adaptation des règles de mobilité géographique;Augmentation de salaire de 20 %;Télétravail intégral obligatoire;3;Des adaptations des règles de mobilité géographique pourront être envisagées pour mieux concilier vie pro et vie perso.
Quelle note cible de Qualité de Vie au Travail (QVT) est fixée pour 2027 ?;5,5/10;6,5/10;7,5/10;8,5/10;3;L'indicateur de qualité des conditions de vie au travail vise une note de 6,5/10.
Quel pourcentage d'agents bénéficiaires de la formation continue est visé en 2027 ?;70 %;75 %;83 %;90 %;4;L'objectif est que 83 % des agents bénéficient de la formation continue pour assurer la montée en compétences.
Sur quel site interministériel la diffusion des offres de postes sera-t-elle étendue ?;LinkedIn;Place de l'emploi public;Pôle Emploi;Monster;3;La diffusion des offres sera étendue sur le site « Place de l'emploi public » pour toucher un public plus large.
Quel dispositif spécifique sera mis en place pour tous les agents de catégorie A ?;Un stage à l'étranger;Des revues de cadres;Une prime de performance;Un bureau individuel;3;Le document mentionne la mise en place de revues de cadres pour l'ensemble des agents de catégorie A.
