Quelle déclaration sert de cadre aux principes de l'ordre public financier respectés par la DGFiP ?;La Constitution de 1958;La Déclaration des droits de l'homme de 1789;Le Traité de Maastricht;La Loi Organique de 2001;3;Les articles 13, 14 et 15 de la DDHC de 1789 fixent les principes fondamentaux que la DGFiP doit faire respecter.
Quel changement majeur la réforme de la responsabilité des gestionnaires publics apporte-t-elle au rôle du comptable ?;Il passe d'un contrôle exhaustif à une approche par les risques;Il ne contrôle plus que les dépenses de personnel;Il fusionne ses fonctions avec l'ordonnateur;Il abandonne tout rôle de conseil;2;Le comptable abandonne la logique d'exhaustivité pour se concentrer sur les enjeux et les dépenses à risques.
Quel est l'objectif cible pour 2027 concernant le ciblage de la fraude par l'IA et le datamining ?;20 % des contrôles;30 % des contrôles;50 % de la programmation;100 % de la programmation;4;L'objectif est que 50 % de la programmation des contrôles (particuliers et professionnels) soit ciblée par l'IA d'ici 2027.
Que désigne le sigle SFACT déployé pour le secteur public local ?;Service de Facturation Automatisé;Service Facturier;Système Financier et Comptable;Section Fiscale et Territoriale;3;Le Service Facturier (SFACT) est une structure mutualisée visant à simplifier la chaîne financière locale.
Quel nouveau référentiel comptable est généralisé pour les collectivités locales ?;M14;M4;M57;PCG;4;Le référentiel M57 devient la norme pour les collectivités, accompagnant le déploiement du Compte Financier Unique.
Quel est l'un des principaux objectifs de la mise en place de la facturation électronique ?;Supprimer la TVA;Améliorer le recouvrement de la TVA et réduire la fraude;Augmenter les délais de paiement;Remplacer les experts-comptables;3;La facturation électronique permet d'obtenir des données en temps réel pour mieux lutter contre la fraude à la TVA.
Quel projet vise à transformer le système d'information de la chaîne de contrôle fiscal en un outil unique ?;PILAT;CHORUS;HELIOS;ROC;2;Le projet PILAT a pour but d'offrir un outil intégré et unique à l'ensemble des acteurs du contrôle fiscal.
Quel est le taux minimum d'imposition des multinationales visé par la réforme de l'OCDE ?;5 %;10 %;15 %;25 %;4;La réforme internationale vise à imposer un seuil minimum de 15 % aux grandes entreprises multinationales.
Quelle taxe est transférée à la DGFiP dans le cadre de l'unification du recouvrement ?;La Taxe d'Habitation;La TICPE (Taxe intérieure de consommation sur les produits énergétiques);L'Impôt sur la Fortune Immobilière;La CSG;3;L'unification inclut le transfert des contributions indirectes et de la TICPE vers la DGFiP.
En quoi consiste la démarche du "Foncier innovant" ?;À privatiser le cadastre;À utiliser l'IA et les technologies pour moderniser le plan cadastral;À augmenter les impôts fonciers de 10 %;À supprimer la taxe foncière;3;C'est une démarche utilisant des nouveaux outils technologiques pour la détection des changements fonciers et la mise à jour du cadastre.
Quel est l'objectif chiffré pour le délai de mise à jour du fichier immobilier d'ici 2027 ?;30 jours;60 jours;75 jours;90 jours;4;L'objectif est de réduire le délai moyen de mise à jour du fichier immobilier à 75 jours d'ici 2027.
Combien de Centres de Gestion Financière (CGF) sont prévus à l'horizon 2027 ?;40;60;80;100;4;L'objectif est de déployer 80 centres de gestion financière pour traiter une part prépondérante des dépenses de l'État.
Quel outil est destiné à optimiser le recouvrement des créances pour les particuliers ?;ROC SP;SFACT;PILAT;PNCD;2;L'outil ROC SP (Recouvrement Optimisé des Créances) est déployé pour améliorer le recouvrement forcé chez les particuliers.
Quelle sanction nouvelle est prévue par la feuille de route de lutte contre les fraudes pour les aides publiques ?;Une peine de prison automatique;Une sanction administrative;Une interdiction de gérer;Une amende forfaitaire unique;3;La feuille de route prévoit la création d'une sanction administrative spécifique en cas de fraude aux aides publiques.
Quel pourcentage de demandes d'assistance fiscale internationale (TVA) la France doit-elle traiter en moins de 90 jours d'ici 2027 ?;50 %;60 %;70 %;80 %;5;L'objectif est de répondre à 80 % des demandes d'assistance en matière de TVA en moins de 90 jours.
Sur quelles missions les Services des Impôts des Particuliers (SIP) doivent-ils se recentrer ?;La saisie informatique;L'accueil généraliste et la gestion des dossiers complexes;Le contrôle fiscal externe;Le recouvrement des amendes;3;Les SIP se recentrent sur l'accueil multicanal et la gestion, en délaissant les tâches simples automatisables.
Quel est le nom du compte unique qui sera généralisé pour les collectivités locales ?;Le Compte de Gestion;Le Compte Administratif;Le Compte Financier Unique (CFU);Le Bilan Simplifié;4;Le CFU fusionne les anciens comptes administratifs et de gestion pour simplifier la comptabilité locale.
Quelle structure est chargée de cibler la fraude patrimoniale grâce au datamining ?;Le PNCD (Pôle National de Contrôle à Distance);La Brigade Financière;Le Service de la Publicité Foncière;Le Centre des Finances Publiques;2;Les Pôles Nationaux de Contrôle à Distance (PNCD) sont créés pour utiliser le potentiel du datamining sur les dossiers des particuliers.
Quelle évolution est prévue pour les Services des Impôts des Entreprises (SIE) concernant le contrôle ?;Ils ne feront plus aucun contrôle;Ils prendront en charge des tâches de première vérification;Ils seront remplacés par des robots;Ils ne géreront que l'accueil physique;3;Les SIE se verront confier des tâches de première vérification et d'accompagnement, notamment avec l'arrivée de la facturation électronique.
Qu'est-ce que le dispositif "Relance successions" ?;Une nouvelle taxe sur l'héritage;Un assistant digital pour améliorer les déclarations de succession;Un service d'avocats fiscalistes;Une amnistie fiscale;3;C'est une expérimentation via un assistant digital pour améliorer le processus de relance et les résultats en matière de droits de succession.
