Quel programme budgétaire est concerné par la trajectoire de crédits et d'emplois 2023-2027 décrite ?;Programme 104;Programme 156;Programme 202;Programme 303;3;Le document détaille spécifiquement la trajectoire du programme 156 concernant la gestion fiscale et financière de l'État.
Quelle est la cible finale du plafond d'emplois (ETPT) à atteindre au plus tard en 2027 ?;93 025;95 039;92 640;91 779;5;L'objectif final de la trajectoire est de réduire le plafond d'emplois à 91 779 ETPT en 2027.
Quelle particularité marque l'année 2025 concernant la réduction des emplois (ETP) ?;Une réduction doublée de 1 700 ETP;Une réduction standard de 850 ETP;Une pause avec 0 suppression d'emploi;Une augmentation des effectifs;4;La trajectoire prévoit une pause dans les suppressions d'emplois pour l'année 2025 (0 ETP supprimé).
À quel montant annuel le budget des Systèmes d'Information (SI) est-il stabilisé sur la période 2023-2027 ?;321 M€;450 M€;500 M€;1 111 M€;3;Le budget alloué aux Systèmes d'Information (AE et CP) est maintenu constant à 450 M€ par an de 2023 à 2027.
Quel projet immobilier bénéficie d'un investissement massif de 91,9 M€ (AE) en 2024 ?;La rénovation de Bercy;Le CAD Nanterre;Le centre de données de Strasbourg;La cité administrative de Lyon;3;Le projet CAD Nanterre concentre un investissement majeur en Autorisations d'Engagement de 91,9 M€ sur l'année 2024.
En quelle année les autorisations d'engagement pour la facturation électronique atteignent-elles leur pic (28,68 M€) ?;2024;2025;2026;2027;4;Les crédits alloués à la facturation électronique progressent pour atteindre un maximum de 28,68 M€ en AE lors de l'année 2026.
Comment évolue le montant total des Autorisations d'Engagement (Total AE) entre 2022 et 2027 ?;Il augmente (de 5,69 Md€ à 6,03 Md€);Il reste parfaitement stable;Il diminue fortement;Il est transféré vers un autre programme;2;Le total des AE passe de 5 687 M€ en exécution 2022 à 6 034 M€ en cible 2027.
Quel type de fonds externe peut compléter les dotations budgétaires de la DGFIP ?;Le Fonds monétaire international;Le Fonds interministériel pour la transformation publique;La réserve parlementaire;Le mécénat d'entreprise;3;Le document cite le Fonds interministériel pour la transformation publique (FITP) et le Fonds de transformation ministériel (FTM) comme sources complémentaires.
Que signifient les crédits classés en T2 HCAS qui représentent environ 4,7 Md€ par an ?;Les dépenses d'investissement immobilier;Les dépenses de personnel (hors compte d'affectation spéciale);Les frais de justice;Les subventions aux associations;3;Le Titre 2 (T2) correspond à la masse salariale et aux dépenses de personnel qui restent stables autour de 4,7 milliards d'euros.
Quel volume de réduction d'emplois (ETP) est planifié pour les années 2026 et 2027 respectivement ?;450 ETP par an;850 ETP par an;0 ETP par an;1 515 ETP par an;3;Après la pause de 2025, la trajectoire reprend un rythme de réduction de 850 ETP pour 2026 et 850 ETP pour 2027.
