De quel ministère la DG Trésor est-elle une direction ?;Le ministère de la Justice;Le ministère de l'Intérieur;Le ministère de l'Europe et des Affaires étrangères;Le ministère de l'Économie, des Finances et de la Souveraineté industrielle, énergétique et numérique;5;La DG Trésor conduit les politiques économique et financière de la France.
Qui est le directeur général du Trésor en 2025 ?;Bertrand Dumont;Dorothée Rouzet;Claire Cheremetinski;Pierre Offret;2;Bertrand Dumont dirige la DG Trésor.
Qui est la directrice générale adjointe du Trésor ?;Pierre Offret;Dorothée Rouzet;Bertrand Dumont;Claire Cheremetinski;5;Elle occupe la fonction de directrice générale adjointe aux côtés du directeur général.
Qui occupe la fonction de cheffe économiste de la DG Trésor ?;Dorothée Rouzet;Bertrand Dumont;Claire Cheremetinski;Pierre Offret;2;La cheffe économiste conseille la direction sur les prévisions économiques.
Combien d'agents la DG Trésor compte-t-elle en administration centrale ?;750;580;102;45;2;S'y ajoutent 580 agents au sein des services économiques à l'étranger.
Combien d'agents la DG Trésor compte-t-elle au sein des services économiques à l'étranger ?;102;750;45;580;5;La DG Trésor est présente dans 102 pays.
Dans combien de pays la DG Trésor est-elle présente à travers ses services économiques ?;750;102;9;580;3;Cela représente 117 implantations à l'étranger.
Combien d'implantations les services économiques de la DG Trésor représentent-ils à l'étranger ?;9;117;45;102;3;Ces implantations couvrent 102 pays.
Que signifie le sigle AFT ?;Agence financière du Trésor;Agence France Trésor;Agence France Transition;Administration financière du Trésor;3;L'AFT gère la trésorerie et la dette de l'État.
Quelle mission fournit une expertise sur les partenariats public privé au sein de la DG Trésor ?;SABINE;SSOFIA;FIN INFRA;SPMAE;4;FIN INFRA est la mission d'appui au financement des infrastructures.
Que signifie le sigle SPMAE ?;Service des politiques écologiques et sectorielles;Service des politiques macroéconomiques et des affaires européennes;Service des politiques sociales et des finances publiques;Service des affaires multilatérales et du développement;3;Le SPMAE est l'un des neuf services d'administration centrale de la DG Trésor.
Que signifie le sigle SAMD ?;Service des affaires multilatérales et du développement;Service des politiques écologiques;Service des affaires bilatérales et de l'internationalisation;Service des politiques sociales;2;Le SAMD porte la stratégie d'aide publique au développement.
Combien de services compose l'administration centrale de la DG Trésor ?;Neuf;Six;Douze;Cinq;2;Ils couvrent des domaines allant du macroéconomique à la dette de l'État.
Combien de publications Trésor Éco ont paru en 2025 ?;2000;4;87;22;5;Trésor Éco propose des analyses économiques synthétiques sur des sujets d'actualité.
Combien de publications Flash Conjoncture ont paru en 2025 ?;11;22;87;4;4;Flash Conjoncture livre des analyses hebdomadaires des indices économiques.
Environ combien de Brèves économiques ont été publiées en 2025 ?;Plus de 2000;87;22;150;2;Elles présentent les décryptages économiques par pays des services à l'étranger.
Combien de publications Objectif Afrique sont parues en 2025 ?;4;11;87;22;2;Objectif Afrique traite des pays d'Afrique subsaharienne.
Combien de rapports stratégiques annuels ont été publiés en 2025 ?;87;11;4;22;3;Ils dressent des bilans sur les grands dispositifs pilotés par la direction.
En quelle année le Fonds Ukraine a-t-il été créé ?;2022;2025;2020;2024;5;Il est né d'un accord bilatéral entre la France et l'Ukraine.
De quel montant le Fonds Ukraine a-t-il été doté ?;500 millions d'euros;16,2 milliards d'euros;64 millions d'euros;200 millions d'euros;5;Il finance la reconstruction d'infrastructures et des secteurs prioritaires.
Combien de projets le Fonds Ukraine a-t-il permis de financer ?;5;6;19;36;4;Ces projets sont portés par des entreprises françaises dans cinq secteurs stratégiques.
Combien de secteurs stratégiques le Fonds Ukraine couvre-t-il ?;Deux;Trois;Dix;Cinq;5;Ce sont l'énergie, la santé, le déminage, l'eau et les infrastructures.
Combien de projets actifs le service économique de Kyiv accompagne-t-il ?;36;102;19;45;2;Ils combinent FASEP, prêts du Trésor et projets du Fonds Ukraine.
À combien s'élève l'aide civile française à l'Ukraine sur 2022-2025 ?;64 millions d'euros;200 millions d'euros;16,2 milliards d'euros;3 milliards d'euros;4;Ce montant inclut la contribution française au budget européen.
Quel rang de pays donateur la France occupe-t-elle pour l'Ukraine ?;Troisième;Cinquième;Premier;Dixième;2;La France se classe troisième pays donateur de l'Ukraine.
Combien de personnes bénéficieront de l'eau courante à Kharkiv grâce au Fonds Ukraine ?;800 000;36 000;120 000;45 000;2;Ce chiffre illustre l'impact concret du fonds sur la population.
Combien d'établissements de santé ont été équipés grâce au Fonds Ukraine ?;36;19;45;120;4;Le fonds a aussi permis de fournir des mobiles de radiographie et des échographes.
Quel document publie la seconde édition en 2025 sur le financement de la transition écologique ?;Objectif Afrique;La SPAFTE;Trésor Éco;Flash Conjoncture;3;SPAFTE signifie Stratégie pluriannuelle des financements de la transition écologique.
Quelle conférence de haut niveau sur le carbone la DG Trésor a-t-elle organisée le 12 février 2025 ?;La conférence sur le Mécanisme d'ajustement carbone aux frontières;Ambition Africa;Vision Golfe;Choose France;2;Le MACF est un dispositif européen de lutte contre les fuites de carbone.
Quel événement s'est tenu le 19 mai 2025 pour attirer les investisseurs étrangers ?;Ambition Africa;Vision Golfe;Choose France;Bercy France Export;4;Choose France vise à promouvoir l'attractivité économique de la France.
Quelle priorité internationale majeure la DG Trésor porte-t-elle pour 2026 ?;L'entrée dans l'Union européenne;La présidence française du G20;La création d'un nouveau ministère;La présidence française du G7;5;La direction organise notamment la filière Finances avec la Banque de France.
