"Que signifie l'acronyme Tracfin ?","Traitement du renseignement et action contre les circuits financiers clandestins."
"Sous quelle double identité Tracfin agit-il ?","Cellule de renseignement financier (CRF) sous l'autorité des ministères économiques et financiers, et depuis 2008 l'un des six services du renseignement de premier cercle."
"Quelles sont les trois missions de Tracfin ?","Lutter contre la criminalité économique et financière et le blanchiment, lutter contre la fraude aux finances publiques, et défendre les intérêts fondamentaux de la Nation."
"Combien d'agents comptait Tracfin au 31 décembre 2025, et quelle était leur répartition ?","231 agents, dont 44 % de femmes (plus de la moitié des postes d'encadrement), 52 % de fonctionnaires et 48 % de contractuels aux profils variés."
"Combien de déclarations de soupçon (DS) Tracfin a-t-il reçues en 2025, et quelle évolution cela représente-t-il ?","278 484 déclarations de soupçon, soit une hausse de 32 % par rapport à 2024."
"Quelle part du flux déclaratif total le secteur financier représente-t-il, et quel est son principal contributeur ?","93 % du flux, avec les banques et établissements de crédit en tête (163 630 DS, +45 %, soit 59 % du flux total)."
"Quelle est la situation déclarative des agents sportifs malgré leur assujettissement depuis 2013 ?","Ils n'ont transmis aucune déclaration de soupçon en 2025, malgré des actions de sensibilisation spécifiques menées par Tracfin et la DGT."
"Quelle profession domine le flux déclaratif du secteur non financier, et avec quelle progression ?","Les notaires, avec 6 590 DS en 2025 (33 % du flux non financier), en hausse de 64 %."
"Quels sont les quatre marqueurs de qualité formelle d'une déclaration de soupçon analysés par Tracfin ?","La longueur de l'exposé des faits, la présence de pièces jointes, les informations sur les personnes ciblées, et l'indication de l'infraction soupçonnée."
"En dessous de quel seuil de caractères une déclaration de soupçon est-elle jugée insuffisamment détaillée ?","En dessous de 1 000 caractères ; 12 % des DS de 2025 étaient en dessous de ce seuil, dont 4 % de moins de 280 caractères."
"Qu'est-ce que l'État-major de lutte contre la criminalité organisée (EMCO), et quand a-t-il été inauguré ?","Structure créée par la loi contre le narcotrafic pour centraliser l'information et coordonner l'action de l'État contre la criminalité organisée ; inaugurée le 14 mai 2025."
"Qu'est-ce que le dispositif des circuits courts et quels résultats a-t-il permis en 2025 ?","Traitement accéléré des DS visant les sociétés éphémères, fondé sur le droit d'opposition ; 400 nouvelles sociétés ciblées et 40 M€ d'avoirs saisis (+40 %) en 2025."
"Combien de sociétés Tracfin a-t-il signalées aux greffiers des tribunaux de commerce en 2025, et avec quel résultat ?","Plus de 8 000 sociétés signalées, dont 80 % ont été radiées du registre du commerce et des sociétés."
"Qu'est-ce que le droit d'opposition et quelle est sa durée maximale ?","Prérogative permettant à Tracfin de reporter une opération suspecte pour sécuriser une saisie judiciaire ; durée de dix jours, prorogeable par le président du tribunal judiciaire de Paris."
"Quelle loi de 2025 a créé une présomption de blanchiment pour certains crypto-actifs, et pour quels cas ?","La loi du 13 juin 2025 contre le narcotrafic, pour les crypto-actifs comportant une fonction d'anonymisation (type Monero) ou recourant à des mixeurs."
"Quel effet cette présomption de blanchiment a-t-elle sur le travail d'enquête ?","Tracfin et les services d'enquête n'ont plus besoin d'identifier l'infraction initiale dès lors que l'origine des fonds concernés est inconnue."
"Quel est le montant des enjeux estimés dans les transmissions relatives à la fraude aux finances publiques en 2025 ?","Près de 3,2 milliards d'euros, pour 852 transmissions (+17 %)."
"Quelle part des contrôles URSSAF sur le travail dissimulé fait suite à une information de Tracfin, et pour quel montant de redressements ?","30 % des contrôles engagés, soit 275 contrôles clôturés en 2025 ayant donné lieu à 470 M€ de redressements (contre 266 M€ en 2024)."
"Quel dispositif d'aide publique a fait l'objet d'une fermeture provisoire de guichet à l'été 2025 après des signalements de Tracfin ?","MaPrimeRénov (MPR), suite à un travail conjoint avec l'Anah, la DGCCRF et la DGFiP sous l'égide de la Micaf."
"Qu'est-ce que le Forum Tracfin et que s'est-il passé lors de son édition 2025 ?","Événement annuel réunissant les acteurs de la LCB-FT ; l'édition du 7 novembre 2025 a réuni plus de 350 participants autour du gouverneur de la Banque de France, invité comme grand témoin."
"Quel risque le gouverneur de la Banque de France a-t-il souligné lors du Forum Tracfin 2025 ?","Le risque de saturation du dispositif si la hausse du volume déclaratif traduit une logique de derisking plutôt que des soupçons réellement caractérisés."
"Quelles nouvelles catégories professionnelles seront assujetties au plus tard en juillet 2027 selon la loi du 13 juin 2025 ?","Les marchands de biens et promoteurs immobiliers, les vendeurs et loueurs de véhicules, navires et aéronefs privés, et les clubs de football professionnels."
"À partir de quand les lanceurs d'alerte pourront-ils saisir directement Tracfin ?","À partir du 1er juillet 2026, exclusivement sur des soupçons de blanchiment de capitaux ou de financement du terrorisme."
"Qu'a confirmé l'avis du Conseil d'État du 23 janvier 2025 sur l'obligation déclarative ?","Que l'obligation déclarative de l'article L. 561-15 du CMF porte à la fois sur les sommes issues d'une infraction et sur les opérations portant sur ces sommes, sans se limiter au seul blanchiment caractérisé."
"Qu'est-ce que l'AMLA, où est son siège et depuis quand est-elle en fonction ?","L'Autorité européenne de lutte contre le blanchiment de capitaux, entrée en fonction le 1er janvier 2025, avec son siège à Francfort."
"Quand l'AMLA commencera-t-elle à superviser directement certains établissements financiers à haut risque ?","À compter du 1er janvier 2028."
"Quelle part des échanges internationaux de Tracfin se fait avec des CRF de l'Union européenne ?","Près de 70 %, les partenaires les plus fréquents étant le Luxembourg, la Belgique, l'Allemagne, l'Autriche et la Malte."
"Avec quel pays Tracfin a-t-il signé un nouveau protocole de coopération (MoU) en 2025, portant le total à combien d'accords ?","La Suisse, portant à 54 le nombre total d'accords de coopération signés par Tracfin depuis sa création."
"Qu'est-ce qu'une COSI et quelles sont ses deux catégories ?","Communication systématique d'information transmise automatiquement à Tracfin ; COSI 1 (transmissions de fonds en espèces/monnaie électronique) et COSI 2 (dépôts ou retraits d'espèces cumulés dépassant 10 000 € par mois)."
"Quelle part des déclarations de soupçon de 2025 contient au moins une pièce jointe ?","98 %, même si certaines professions comme les CARPA, avocats, commissaires de justice et AJMJ en omettent plus souvent."
