DGE,Direction générale des Entreprises
Slogan de la DGE en 2025,Accélérer l'économie de demain
Mode de fonctionnement de la DGE depuis 2019,"Mode projet, objectifs précis et quantifiables"
Effectif en administration centrale,409 agents (62 % du total)
Effectif dans les territoires,674 agents (38 % du total)
Quatre priorités de la DGE,"Autonomie stratégique, planification écologique, transition numérique, économie de proximité"
SISSE,Service de l'information stratégique et de la sécurité économiques
Alertes traitées par le SISSE en 2025,Plus de 750 alertes
Contrôles aval des investissements étrangers en 2025,Plus de 110 contrôles
Soutien France 2030 au secteur spatial,"Près de 1.5 milliard d'euros, 182 lauréats fin 2025"
Iris²,"Constellation sécurisée européenne, premier contrat de 400 M€ à Thales Alenia Space"
Budget triennal de l'ESA (nov. 2025),22.1 milliards d'euros
Investissement français dans l'ESA,3.6 milliards d'euros
France 2030 (bilan global),"40.5 milliards d'euros sur 7 500 projets, plus de 6 000 brevets"
Guichet unique des entreprises,"500 000 formalités par mois, opéré par l'INPI"
ETIncelles,298 entreprises accompagnées dans 84 départements
Je choisis la French Tech,Plus de 700 entreprises
Solde net d'ouvertures/extensions d'usines (S1 2025),"+9 (44 ouvertures, 86 extensions)"
MIRE,"Mission interministérielle aux restructurations d'entreprises, créée le 1er août 2025"
Investissements annoncés au Sommet IA de février 2025,109 milliards d'euros
Osez l'IA,Plan lancé en juillet 2025 pour diffuser l'IA dans toutes les entreprises
INESIA,"Institut national de l'évaluation et de la sécurité de l'IA, piloté par le SGDSN et la DGE"
Part des TPE/PME utilisant l'IA en 2025,26 % (doublement vs 2024)
Locaux raccordables à la fibre fin 2025,Plus de 95 %
Projets de décarbonation suivis par les SEER,"115 projets, objectif -9 MtCO2e sur 2025-2030"
Guides sectoriels sur l'adaptation climatique publiés en 2025,9 guides
Communes soutenues par le Fonds commerce rural,500 communes (3.7 M€ d'aides)
Objectif d'investissements touristiques annuels d'ici 2030,25 milliards d'euros
Part des postes à responsabilité occupés par des femmes,48 %
Baisse de l'empreinte carbone des déplacements aériens (2022-2025),30 %
Sommet Choose France (17 novembre 2025),30.4 milliards d'euros sur 151 projets
