Quel service coordonne la politique de sécurité économique de l'État ?;L'Urssaf;Le Sisse;Météo-France;La CNIL;3;Placé auprès de la Direction générale des Entreprises.
Combien de délégués régionaux à l'information stratégique et à la sécurité économiques compte le Sisse ?;3;500;101;21;5;Les Disse détectent les alertes de terrain.
En combien de familles sont regroupées les 29 fiches ?;Deux;Vingt-neuf;Douze;Sept, de A à G;5;De Penser la sécurité économique à À l'extérieur de l'entreprise.
Quelles sont les trois rubriques de recommandations ?;Achat, vente, stock;Organisationnel, technique, comportemental;Passé, présent, futur;Nord, sud, est;3;Destinées aux managers, aux techniciens et à chacun.
Qu'est-ce qu'un rapport d'étonnement ?;Un compte rendu d'une situation anormale adressé au responsable sûreté;Un rapport financier annuel;Une facture;Un bulletin de paie;2;Leur accumulation transforme des signaux faibles en analyses.
Comment identifier l'information stratégique ?;Au hasard;En protégeant tout de la même façon;En demandant aux concurrents;Par une analyse de l'impact et de la probabilité dans un tableau de criticité;5;Tout protéger paralyserait l'activité.
Une information stratégique le reste-t-elle toujours ?;Elle ne l'est jamais;Oui pendant cent ans;Non, la démarche doit être réitérée périodiquement;Oui pour toujours;4;Sa sensibilité évolue.
Qu'est-ce qu'un circuit de notoriété ?;Un classement des entreprises;Un parcours de visite évitant les zones sensibles;Une course automobile;Un réseau social;3;Il valorise l'entreprise sans l'exposer.
Qui peut conseiller gratuitement une entreprise sur la protection de ses locaux ?;Personne;Les référents sûreté de la police et de la gendarmerie;Les agences de voyage;Les concurrents;3;Gendarmes ou policiers spécialement formés.
Que faire des comptes informatiques d'un stagiaire à la fin de son contrat ?;Les clôturer immédiatement;Les conserver indéfiniment;Les donner au successeur;Les rendre publics;2;L'accès se fait avec un identifiant personnel et tracé.
Comment recevoir la clé USB d'un visiteur ?;Sur un ordinateur dédié non connecté au réseau;Sur le poste du directeur;Sur le serveur principal;Sans précaution;2;Pour éviter l'introduction de logiciels malveillants.
Un brevet peut-il protéger une simple idée ?;Oui si elle est bonne;Oui pendant un an;Oui toujours;Non, seulement les moyens techniques qui la concrétisent;5;L'invention doit être nouvelle, inventive et industrielle.
Comment s'acquiert le droit d'auteur ?;Par tirage au sort;Sans formalité, dès la création;Par dépôt obligatoire à l'Inpi;Par achat;3;Il couvre toutes les œuvres de l'esprit.
Combien de temps vaut une demande d'intervention auprès des Douanes contre la contrefaçon ?;Un jour;Dix ans;À vie;Un an renouvelable;5;Elle est gratuite.
Quelle condition rend valable une clause de non-concurrence ?;Être limitée dans le temps et l'espace et compensée financièrement;Être orale;Être secrète;Être illimitée;2;Sinon elle risque l'annulation.
Une simple suppression de fichiers est-elle une destruction ?;Oui sur clé USB;Oui toujours;Non;Oui si la corbeille est vidée;4;Il faut un effacement sécurisé.
Quel appareil utiliser pour détruire des documents sensibles ?;Un broyeur à coupe croisée;Un classeur;Une poubelle ordinaire;Une agrafeuse;2;Aussi pour les CD et DVD.
Qu'est-ce qu'un bien à double usage ?;Un produit recyclé;Un bien loué;Un bien vendu deux fois;Un bien utilisable à des fins civiles et militaires;5;Son exportation peut exiger une licence.
Qu'atteste la certification OEA ?;La solvabilité bancaire;La maîtrise de la réglementation douanière et des risques de sûreté;La qualité alimentaire;Le respect du RGPD;3;Opérateur économique agréé.
Quand verser le premier acompte d'un contrat ?;Avant toute négociation;Jamais;Dès le premier courriel;Après validation et signature par les personnes mandatées;5;Toute opération suit la procédure interne.
Que faire signer à un investisseur avant de lui transmettre des informations stratégiques ?;Rien;Un bail;Un chèque;Une lettre d'intention et un accord de confidentialité;5;Et limiter la période d'investigation.
Auprès de qui déposer une demande d'autorisation d'investissement étranger ?;La CNIL;Le tribunal de commerce;La mairie;La direction générale du Trésor;5;Un rescrit permet un examen préalable.
Quelle décision peut rendre l'administration sur un investissement étranger ?;Une amende automatique;Une médaille;Une subvention;Une autorisation sous conditions avec lettre d'engagements;5;Aussi avis hors champ, autorisation simple ou refus.
Quand redoubler de vigilance face au Fovi ?;Seulement en janvier;Le lundi matin uniquement;Jamais;Pendant les congés, les vendredis soir et les remplacements;5;Les escrocs exploitent les absences.
Quelle peine encourt une escroquerie ?;Une amende de 10 euros;Un simple avertissement;Cinq ans d'emprisonnement et 375 000 euros d'amende;Rien;4;Article 313-1 du Code pénal.
Qu'est-ce que la fraude au changement de RIB ?;Un escroc se fait passer pour un fournisseur et demande un paiement sur un autre compte;Une procédure légale;Un changement de banque volontaire;Une erreur de la banque;2;Variante du Fovi.
Que sont le FCPA et le UK Bribery Act ?;Des logiciels;Des traités de paix;Des normes comptables;Des lois anticorruption à portée extraterritoriale;5;Américaine et britannique.
Pourquoi un moniteur représente-t-il un risque ?;Il est français;Il peut accéder à la quasi-totalité des données de l'entreprise;Il n'a aucun pouvoir;Il est gratuit;3;Il est imposé dans le cadre d'un DPA ou NPA.
Quelle loi interdit de communiquer certaines informations à des autorités étrangères ?;La loi Informatique et libertés;La loi de blocage du 26 juillet 1968;La loi Evin;La loi Hadopi;3;Le Sisse veille à son application.
Quels seuils déclenchent l'obligation anticorruption de Sapin II ?;500 salariés et 100 millions d'euros de chiffre d'affaires;10 salariés;50 salariés et 1 million;Aucun seuil;2;Article 17 de la loi.
Quelle est la meilleure parade contre les rançongiciels ?;Éteindre l'écran;Payer la rançon;Changer de fond d'écran;Des sauvegardes régulières sur un support déconnecté;5;Il ne faut jamais payer.
Quelle longueur minimale de mot de passe recommande le guide ?;Aucune;12 caractères de types différents;6 chiffres;4 caractères;3;Un mot de passe unique par usage.
Qu'est-ce que l'élicitation ?;Un logiciel de sécurité;Une procédure douanière;Une élection;Une technique de manipulation pour soutirer des informations;5;Intrusive mais pas illégale.
Qu'est-ce qu'un typosquat ?;Un nom de domaine usurpé reposant sur une faute d'orthographe;Une faute de frappe dans un courriel;Un logiciel de traitement de texte;Un squat d'immeuble;2;Exemple elyseee.fr pour elysee.fr.
