CGE,Conseil général de l'Économie
Présidence du CGE,"Le ministre de l'Économie, des Finances et de la Souveraineté industrielle"
Quatre modes d'intervention du CGE,"Inspecter, gérer et piloter, réfléchir et communiquer, conseiller"
Effectif du corps des mines,842 membres
Missions conduites par le CGE en 2025,54 missions
Apprenants des écoles sous tutelle du CGE,16 394 apprenants
Quatre sections du CGE,"Technologies et société, Innovation-compétitivité-modernisation, Régulation et ressources, Sécurité et risques"
Baromètre du numérique 2025 (usage de l'IA),33 % des Français
Baromètre du numérique 2025 (internautes),94 % des Français
Réforme du code minier,"Loi du 22 août 2021, effet au 1er juillet 2024, décrets d'août 2025"
Rôle du CGE sur les nouvelles demandes de titres miniers,Avis sur le volet économique et social
Concession de Beauvoir,"Lithium (Imerys), avis rendu le 25 novembre 2025"
Projet EMILI,"34 000 tonnes d'hydroxyde de lithium/an dès 2030, 700 000 batteries"
Durée de concession préconisée pour Beauvoir,50 ans
Fréquence de l'assemblée plénière du CGE,3 ou 4 fois par an
Ambassadeur des PME (SME Envoy) 2025,Stéphane Molinier
Part des PME dans les entreprises de l'UE,99 %
Haut fonctionnaire au développement durable des MEF,Philippe Kahn (depuis mars 2020)
PNACC,"3e plan national d'adaptation au changement climatique, publié le 10 mars 2025"
Creative Freeday,Séances de débat collectif du CGE
Café Dataviz,Premier événement organisé en avril 2025
Assistant IA (CGE),Chatbot souverain testé avec Mistral AI depuis fin 2025
Annales des Mines (2025),"21 publications, 6 tables rondes, 3 058 abonnés à la lettre"
Dossiers examinés par le comité de déontologie (2025),6 dossiers (dont 10 transmis à la HATVP)
Écoles sous tutelle du CGE,Institut Mines Télécom et Mines Paris
Mission Caine / Drach-Temam,"Relations laboratoires publics-entreprises, liée au crédit d'impôt collaboratif (CICO)"
