De quelle fusion historique est issue la Direction générale des Finances publiques (DGFiP) ?,La fusion entre la Direction générale des Impôts (DGI) et la Direction générale de la Comptabilité publique (DGCP).
Quel est l'objectif principal du Nouveau Réseau de Proximité (NRP) ?,Accroître la présence des agents sur le terrain via des lieux d'accueil comme les espaces France Services.
"En dehors de la fiscalité, quelle mission la DGFiP assure-t-elle concernant les agents de l'État ?",Le versement des rémunérations et le règlement des pensions civiles et militaires.
Sur quel principe fondamental repose le système fiscal français pour les particuliers ?,"Le principe déclaratif, où le contribuable fait connaître spontanément ses revenus et son patrimoine."
Qu'est-ce que le « rôle » dans le cadre des impôts directs ?,Un titre exécutoire collectif dressant la liste nominative des contribuables et des sommes dues.
Quelle innovation technologique permet de réduire les erreurs de saisie dans la déclaration de revenus ?,"La déclaration préremplie alimentée par les données des tiers (employeurs, banques)."
Quel document informe le contribuable du montant exact à payer et de la date limite de règlement ?,L'avis d'imposition (ou avis de mise en recouvrement).
Quel service de la DGFiP est chargé d'évaluer les demandes de délais de paiement des particuliers ?,Le Service des Impôts des Particuliers (SIP).
Quelle instance de médiation interne intervient en cas de litige persistant après une réclamation contentieuse ?,Le conciliateur fiscal.
Quelle est la différence entre les modes de transmission EFI et EDI pour les professionnels ?,"L'EFI utilise des formulaires en ligne, tandis que l'EDI permet l'échange direct de données informatisées."
Quel organisme pilote le Guichet unique pour les formalités d'entreprises en synergie avec la DGFiP ?,L'Institut National de la Propriété Industrielle (INPI).
Quel impôt constitue la première source de revenus du budget de l'État français ?,La Taxe sur la Valeur Ajoutée (TVA).
À quoi servent les guichets uniques OSS et IOSS ?,À déclarer et payer la TVA due dans l'ensemble des États membres de l'UE via une interface unique.
Quel est le nom du système d'information financière utilisé par l'État pour le versement des aides aux entreprises ?,CHORUS.
Quel changement doctrinal majeur a été introduit par la Loi ESSOC en août $2018$ ?,L'instauration du « droit à l'erreur » en matière fiscale.
Sous quelle condition le « droit à l'erreur » s'applique-t-il lors d'une infraction fiscale ?,Il faut que l'infraction soit une première erreur non intentionnelle et que le contribuable soit de bonne foi.
Quel est l'objectif de l'indicateur de performance fixé à $30$ % pour $2022$ concernant le contrôle fiscal ?,La proportion des contrôles conclus par une acceptation volontaire et pacifiée du contribuable.
Définition : Contrôle sur Pièces (CSP),Examen critique et cohérence des déclarations effectué directement depuis les bureaux de l'administration.
Quelle procédure de contrôle vise les particuliers à forts enjeux patrimoniaux ?,L'Examen Contradictoire de la Situation Fiscale Personnelle (ESFP).
"Quelle est la durée maximale d'une Vérification de Comptabilité sur place pour une PME (CA < $789\,000$ €) ?",$3$ mois.
Quelle obligation incombe à une entreprise faisant l'objet d'un Examen de Comptabilité (EC) ?,Transmettre ses fichiers des écritures comptables (FEC) sous $15$ jours.
Quel fichier national recense l'intégralité des ouvertures et clôtures de comptes bancaires en France ?,Le FICOBA (Fichier National des Comptes Bancaires et Assimilés).
Quel est le montant standard d'une amende forfaitaire pour une contravention de 4e classe (ex: feu rouge) ?,$135$ €.
Quelle technique de « nudge » est utilisée pour inciter au paiement rapide des amendes ?,L'application d'un tarif minoré si le règlement intervient dans un délai court (ex: $15$ jours).
Qu'advient-il du droit de contester une amende délictuelle si l'usager choisit le paiement fractionné ?,L'usager perd définitivement son droit de consigner pour contester l'infraction devant le juge.
Procédure : Saisie Administrative à Tiers Détenteur (SATD),"Mécanisme permettant au comptable public d'exiger d'un tiers (banque, employeur) le versement des fonds d'un débiteur."
Qu'est-ce que le Solde Bancaire Insaisissable (SBI) ?,"Une somme alimentaire minimale que la banque doit laisser à disposition du débiteur, soit $651,69$ €."
Le montant du Solde Bancaire Insaisissable (SBI) est statutairement aligné sur quel revenu social ?,Le Revenu de Solidarité Active (RSA) pour une personne seule.
Quel est le délai de gel des fonds par la banque suite à une SATD avant leur versement au Trésor ?,$30$ jours.
Le plan cadastral fixe-t-il les limites juridiques absolues de la propriété ?,"Non, cette fonction est réservée au bornage contradictoire réalisé par un géomètre-expert."
Quelle composante du cadastre relie les parcelles géographiques à l'identité des propriétaires ?,La Matrice Cadastrale.
À quoi sert le fichier « Topo » (anciennement Fantoir) ?,"À codifier de manière standardisée la nomenclature des voies, lieux-dits et ensembles immobiliers."
Quelle unité départementale assure la mise à jour topographique du cadastre ?,Le Pôle de Topographie et de Gestion Cadastrale (PTGC).
Définition : Valeur Locative Cadastrale (VLC),Loyer annuel théorique qu'un propriétaire pourrait tirer de son bien aux conditions du marché.
En quelle année ont été fixées les conditions du marché locatif servant de base aux VLC actuelles des habitations ?,Au 1er janvier $1970$.
Quelle est la conséquence majeure de l'obsolescence des valeurs locatives cadastrales ?,Des iniquités fiscales entre quartiers gentrifiés (sous-taxés) et quartiers anciens (sur-taxés).
Quelle commission locale donne son avis sur la fixation ou la modification de la VLC ?,La Commission Communale des Impôts Directs (CCID).
Quel service en ligne oblige les propriétaires à déclarer l'occupation de leurs locaux depuis $2023$ ?,Gérer Mes Biens Immobiliers (GMBI).
Quel est l'objectif du projet « Foncier Innovant » de la DGFiP ?,"Utiliser l'intelligence artificielle et l'imagerie aérienne pour détecter les bâtis non déclarés (piscines, extensions)."
Quelle entité a succédé aux « Conservations des Hypothèques » en $2013$ ?,Le Service de la Publicité Foncière et de l'Enregistrement (SPFE).
