En quelle année le Secrétariat général des ministères économiques et financiers a-t-il été créé ?;2000;2016;2010;1969;2;Il fête ses 25 ans en 2025.
Combien d'agents compte le Secrétariat général en 2025 ?;193;2 478;600;454;3;S'y ajoutent 454 stagiaires et 86 apprentis.
Quel pourcentage de femmes travaille au Secrétariat général en 2025 ?;54 %;32 %;40,4 %;46 %;2;Les hommes représentent 46 % des effectifs.
Que signifie le sigle SRH au Secrétariat général ?;Service des relations humanitaires;Service régional des Hauts-de-Seine;Service des ressources humaines;Structure de règlement hiérarchique;4;Le SRH pilote les politiques RH ministérielles.
Que signifie le sigle DES au sein du SG ?;Délégation à l'encadrement supérieur;Direction des services;Délégation à l'égalité et solidarité;Direction des études statistiques;2;La DES accompagne les cadres supérieurs.
Combien de postes les ministères économiques et financiers ont-ils obtenus à la sortie de l'INSP en 2025 ?;29 sur 92;106 sur 188;60 sur 100;13 sur 65;2;Cela confirme la place de premier recruteur d'administrateurs de l'État.
Que remplace la nouvelle procédure d'affectation en sortie d'INSP issue du décret du 25 janvier 2023 ?;La note de stage;Le concours d'entrée;Le classement de sortie;L'entretien individuel;4;Elle repose désormais sur un appariement entre profils et besoins.
Combien de femmes cadres le programme VirtuOses a-t-il accompagnées en 2025 ?;220;304;200;60;5;Ce programme prépare l'accès à des fonctions supérieures.
Quel est le taux d'emploi de travailleurs handicapés dans les ministères économiques et financiers en 2024 ?;22 %;6,53 %;16 %;54 %;3;Ce taux est supérieur à l'obligation légale.
Quand a été signé l'accord ministériel en faveur de l'égalité professionnelle ?;Le 12 février 2025;Le 1er janvier 2026;Le 5 septembre 2025;Le 7 mars 2025;4;Il a été signé par la Secrétaire générale et la ministre chargée des Comptes publics.
Que signifie le sigle IGPDE ?;Institut de la gestion publique et du développement économique;Institut de gouvernance publique et de développement européen;Inspection générale des politiques de l'économie;Institut général de la protection des données de l'État;2;L'IGPDE est le pôle de formation des ministères économiques et financiers.
Combien d'agents l'IGPDE a-t-il formés au développement des compétences en 2025 ?;78 476;7 500;36 029;10 670;4;Ce chiffre concerne spécifiquement le développement des compétences.
Quelle thématique a été retenue pour les Journées Numériques 2025 de l'IGPDE ?;Le télétravail;L'intelligence artificielle;L'écoresponsabilité;La cybersécurité;3;Près de 1 400 participants y ont pris part.
