En quelle année la direction de l'immobilier de l'État a-t-elle été créée ?;2020;2016;2012;2018;3;La DIE a été créée en 2016 pour succéder au service France Domaine.
Quel service la DIE a-t-elle remplacé lors de sa création ?;France Domaine;L'AGILE;La DNID;La direction du budget;2;France Domaine incarnait auparavant la politique immobilière de l'État.
Quelle instance nationale unique a été créée en 2016 pour la gouvernance immobilière ?;Le conseil de l'immobilier de l'État;La conférence régionale de l'immobilier public;La conférence nationale de l'immobilier public (CNIP);Le comité interministériel de la transformation publique;4;La CNIP a remplacé cinq instances préexistantes.
Combien d'instances la CNIP a-t-elle remplacées ?;Dix;Trois;Cinq;Deux;4;La création de la CNIP a permis de simplifier une gouvernance jusque là dispersée.
Que signifie le sigle CRIP ?;Convention régionale d'investissement public;Comité régional d'inspection du patrimoine;Conférence régionale de l'immobilier public;Cellule régionale de l'immobilier public;4;Les CRIP sont présidées par les préfets de région.
Qui préside les conférences régionales de l'immobilier public ?;Les maires;Les directeurs régionaux des finances publiques;Les préfets de région;Le directeur de la DIE;4;Les CRIP déclinent la gouvernance immobilière au niveau régional sous l'autorité du préfet.
Que regroupent les pôles régionaux de l'immobilier de l'État (PRIE) ?;Uniquement les cessions;La stratégie, la gestion immobilière et la gestion domaniale;Uniquement les évaluations domaniales;Uniquement le budget;3;Les PRIE ont été généralisés dans onze régions de l'Hexagone en 2024.
En combien de régions les PRIE ont-ils été généralisés en 2024 ?;Onze;Dix huit;Treize;Cinq;2;Cette généralisation a marqué une étape de changement d'échelle de la politique immobilière.
Que désigne le sigle SDIR ?;Système de données immobilières régionales;Service départemental de l'immobilier régional;Schéma directeur immobilier régional;Stratégie de développement immobilier régional;4;Le SDIR porte sur tout le parc de l'État implanté dans une région.
Que désigne le sigle SPSI ?;Service public de sécurité immobilière;Stratégie patrimoniale des services interministériels;Schéma de programmation et de suivi immobilier;Schéma pluriannuel de stratégie immobilière;5;Le SPSI porte sur le parc d'une seule administration ou d'un seul opérateur.
Quelle surface totale les schémas directeurs immobiliers régionaux validés en 2025 couvrent-ils ?;Plus de seize millions de mètres carrés;Plus de cent millions de mètres carrés;Environ un million de mètres carrés;Environ cinq millions de mètres carrés;2;L'ensemble des SDIR de l'Hexagone a été validé en 2025.
Quels cyclones ont frappé Mayotte fin 2024 et début 2025, imposant un schéma directeur d'urgence ?;Chido et Dikeledi;Kenneth et Idai;Irma et Maria;Batsirai et Freddy;2;Ces événements ont rendu le diagnostic immobilier antérieur inopérant.
À quoi sert une convention d'utilisation (CDU) ?;Financer les cessions immobilières;Créer une foncière de l'État;Formaliser la mise à disposition d'un immeuble de l'État à une administration utilisatrice;Évaluer la valeur d'un bien;4;Sans CDU la responsabilité juridique et financière de l'État peut être engagée.
Combien de conventions d'utilisation sont environ en vigueur aujourd'hui ?;Environ mille;Environ cent mille;Environ quatorze mille;Environ cinquante mille;4;Elles couvraient 60 % du parc en 2016 contre la quasi totalité aujourd'hui.
Quelle direction garantit l'indépendance des évaluations immobilières de l'État ?;La direction du budget;Le secrétariat général des ministères économiques et financiers;L'AGILE;La direction nationale d'interventions domaniales (DNID);5;La DNID sécurise juridiquement et financièrement les décisions immobilières.
En quelle année la DNID a-t-elle été créée ?;2005;1995;2016;1969;5;C'est une direction historique bien antérieure à la DIE.
Pourquoi les pôles d'évaluation domaniale ne sont-ils pas intégrés aux structures opérationnelles de la politique immobilière ?;Pour accélérer les cessions;Pour réduire les coûts;Pour simplifier l'organigramme;Pour garantir l'indépendance de l'évaluateur;5;La séparation entre analyse de la valeur et décision immobilière fonde la crédibilité du Domaine.
Combien d'évaluations immobilières ont été réalisées depuis 2016 ?;Environ 2 000 000;Environ 998 515;Environ 50 000;Environ 140 000;3;Ce chiffre illustre l'ampleur de l'activité d'évaluation depuis la création de la DIE.
Quel est l'objectif de réduction des surfaces de bureaux fixé par la doctrine d'occupation de 2023 ?;25 % à l'horizon 2033;10 % à l'horizon 2030;50 % à l'horizon 2040;15 % à l'horizon 2025;2;Cette doctrine fixe aussi une cible de seize mètres carrés par résident.
Quelle cible de surface par résident fixe la doctrine d'occupation de 2023 ?;10 mètres carrés;25 mètres carrés;30 mètres carrés;16 mètres carrés;5;Cette cible s'applique aux immeubles de bureaux de l'État.
Quel dispositif réglementaire fixe des obligations de réduction des consommations d'énergie des bâtiments tertiaires de l'État ?;La doctrine d'occupation;La loi de finances;Le programme 348;Le décret tertiaire;5;Le décret tertiaire est entré en vigueur en 2019.
Quel outil permet de suivre les consommations d'énergie du parc immobilier de l'État depuis 2019 ?;Le nouveau socle de gestion;L'outil de suivi des fluides interministériel (OSFI);GED'Immo;FIGARO;3;OSFI permet d'objectiver les choix d'investissement énergétique.
Quel objectif de réduction de la consommation d'énergie finale le décret tertiaire fixe-t-il pour 2030 ?;40 %;20 %;10 %;60 %;2;À fin 2024 la baisse atteignait environ 20 %, soit la moitié du chemin.
Quelle application sécurise depuis 2022 la gestion des redevances domaniales ?;FIGARO;OSFI;CDU Web;GED'Immo;2;FIGARO prévient aussi les occupations sans titre.
Que vise le programme du nouveau socle de gestion immobilière (NSG) ?;Créer la foncière de l'État;Doter les acteurs de l'immobilier de l'État d'un référentiel commun sur un progiciel unique;Financer les cessions immobilières;Remplacer la CNIP;3;Le NSG doit supprimer les doubles saisies et améliorer l'interopérabilité.
Quel outil de gestion électronique des documents bâtimentaires a été livré en pilote en septembre 2025 ?;OSFI;FIGARO;CDU Web;GED'Immo;5;Il a été testé dans les Yvelines et dans le Grand Est.
Sur quel standard de sécurité l'architecture de GED'Immo est-elle déployée ?;Le standard RGPD;Le standard SecNumCloud de l'ANSSI;Le standard PCI DSS;Le standard ISO 27001 uniquement;3;Cela garantit un haut niveau de sécurité et de souveraineté des données.
