Combien de grands piliers composent l'écosystème du contrôle fiscal français ?;3 piliers;5 piliers;7 piliers;4 piliers;3;Le contrôle fiscal repose sur 5 piliers complémentaires, le ciblage, l'outil de gestion, les opérations nationales, locales et l'action judiciaire.
Quelle structure croise d'immenses bases de données au niveau national pour détecter les anomalies statistiques ?;La MRV;Le PNAD;La DVNI;L'ONAF;2;La Mission Requêtes et Valorisation (MRV) utilise l'Intelligence Artificielle et le data mining au niveau national pour détecter les fraudes.
Quel est le rôle principal des Pôles Nationaux d'Analyse de Données (PNAD) ?;Mener des perquisitions fiscales;Gérer les très grandes entreprises;Produire des fiches de ciblage pour le terrain;Recouvrer l'impôt localement;4;Les PNAD assistent la MRV dans le traitement massif des données et produisent les fiches de ciblage pour les vérificateurs.
Comment s'appelle le grand logiciel métier interne de pilotage du contrôle fiscal ?;MRV;DNEF;ONAF;PILAT;5;Le Projet PILAT centralise les cibles, distribue les dossiers et trace le travail des agents de A à Z.
Quelle entité assure la Maîtrise d'Ouvrage (MOA) du projet PILAT ?;La Direction des Projets Numériques;Le Service de la Sécurité Juridique et du Contrôle Fiscal;La Direction des Vérifications Nationales;L'Office National Anti-Fraude;3;La MOA représente le métier, elle est gérée par le Service de la Sécurité Juridique et du Contrôle Fiscal.
Quelle direction est chargée de contrôler les multinationales et les entreprises du CAC 40 ?;La DVNI;La DNEF;La DNVSF;La DIRCOFI;2;La Direction des Vérifications Nationales et Internationales (DVNI) s'occupe des très grandes entreprises aux enjeux colossaux.
Qui cible spécifiquement la Direction Nationale d'Enquêtes et de Vérifications des Situations Fiscales (DNVSF) ?;Les entreprises de taille intermédiaire;Les petites PME et artisans;Les personnes physiques à très forts enjeux;Les réseaux de travail dissimulé;4;La DNVSF contrôle les dirigeants, personnalités et grandes fortunes.
Quelle direction agit comme un service de renseignement administratif réalisant des infiltrations et perquisitions ?;La DIRCOFI;La MRV;Les BDV;La DNEF;5;La Direction Nationale des Enquêtes Fiscales (DNEF) mène les enquêtes préalables et les visites domiciliaires.
Quel type d'entreprise est principalement contrôlé par les directions interrégionales (DIRCOFI) ?;Les très grandes entreprises;Les Entreprises de Taille Intermédiaire (ETI) et grosses PME;Les Très Petites Entreprises (TPE);Les artisans et commerçants de proximité;3;Le niveau interrégional s'occupe de la majorité du tissu économique moyen, notamment les ETI et grosses PME.
Quelle brigade assure le contrôle sur place des artisans et des TPE ?;La DVNI;La DIRCOFI;Les Brigades Départementales de Vérification (BDV);Les Pôles de Contrôle et d'Expertise (PCE);4;Les BDV opèrent au niveau local pour le contrôle sur place des petites structures.
Quelle est la spécialité des Brigades de Contrôle et de Recherche (BCR) ?;L'investigation sur le terrain comme le travail dissimulé;Le contrôle sur pièces depuis le bureau;L'analyse statistique des bases de données;La gestion courante et les relances;2;Les BCR réalisent des investigations sur le terrain et utilisent le droit d'enquête.
Quels services locaux gèrent le contrôle sur pièces depuis le bureau ?;Les SIE et SIP;Les PCE et PCRP;Les BDV et BCR;La MRV et les PNAD;3;Les PCE contrôlent les professionnels et les PCRP contrôlent les particuliers depuis leurs bureaux.
Quand a été créé l'Office National Anti-Fraude (ONAF) en remplacement du SEJF ?;En janvier 2023;En mai 2024;En décembre 2020;En septembre 2018;3;L'ONAF a été créé en mai 2024 pour remplacer le SEJF dans la lutte contre la criminalité organisée.
De quels pouvoirs disposent les Officiers Fiscaux et Douaniers Judiciaires (OFJ / ODJ) de l'ONAF ?;Demander des justificatifs simples;Relancer automatiquement les impayés;Utiliser le data mining et l'Intelligence Artificielle;Des pouvoirs pénaux comme les écoutes et les gardes à vue;5;Les OFJ et ODJ ont un statut de police judiciaire leur permettant des saisies criminelles, écoutes et gardes à vue.
Comment peut-on qualifier l'évolution récente de l'approche du contrôle fiscal français ?;D'une logique industrielle vers une approche artisanale;D'une approche purement pénale vers l'administratif;D'une approche artisanale vers une logique industrielle;D'une centralisation totale vers une externalisation privée;4;Le contrôle repose aujourd'hui sur l'exploitation massive de données et des logiciels comme PILAT, marquant une industrialisation des processus.
