Que signifie le sigle DAE ?;Direction des affaires européennes;Direction des achats de l'État;Direction de l'action économique;Direction de l'administration de l'État;3;Créée en 2016 par transformation du service des achats de l'État.
Quel montant représentent les achats de l'État et de ses établissements publics en 2025 (hors défense et sécurité) ?;24,4 milliards d'euros;3,65 milliards d'euros;800 millions d'euros;Près de 50 milliards d'euros;5;Ce montant a un impact déterminant sur le fonctionnement des administrations.
Quel était l'objectif de gains achats fixé pour 2025 ?;850 millions d'euros;443 millions d'euros;800 millions d'euros;413 millions d'euros;4;Réparti entre 330 M€ pour l'État et 470 M€ pour les établissements publics.
Quel est l'objectif de dépenses d'achat de l'État auprès des PME en 2025 et 2026 ?;30 %;48 %;24 %;80 %;2;Un objectif de 4 % est aussi fixé pour les PME innovantes d'ici 2027.
Combien de priorités ont été fixées lors des Rencontres annuelles des achats de l'État du 15 décembre 2025 ?;10;3;5;7;4;Elles portent notamment sur la simplification et la souveraineté.
Que signifie le sigle RMA ?;Registre des marchés administratifs;Responsable ministériel des achats;Réseau des métiers de l'achat;Régime des marchés adaptés;3;Il est l'interlocuteur permanent de la DAE dans chaque ministère.
Que signifie le sigle PFRA ?;Programme fédéral de régulation administrative;Plateforme régionale des achats;Plan de financement des ressources achat;Politique française des relations administratives;3;Elle pilote les achats interministériels au niveau régional.
Combien d'agents la DAE compte-t-elle fin 2025 ?;17;286;97;4640;4;L'âge moyen des agents est de 47 ans.
Quel est le seuil de dispense de mise en concurrence pour les fournitures et services applicable au 1er avril 2026 ?;60 000 euros;100 000 euros;140 000 euros;40 000 euros;2;Il était auparavant fixé à 40 000 euros.
Combien de fois le montant estimé du marché un acheteur peut-il désormais exiger comme chiffre d'affaires minimal des candidats ?;1,5 fois;0,5 fois;2 fois;3 fois;2;Cette mesure favorise l'accès des PME à la commande publique.
Qu'est-ce que le SIA ?;Le secrétariat interministériel des achats;Le système d'information achat de l'État;Le syndicat interministériel des acheteurs;Le service d'inspection des achats;3;Il regroupe notamment APPACH et PLACE.
Combien de consultations ont été publiées sur PLACE en 2025 ?;39 626;3 663;7 295;9 387;2;7 295 marchés ont été notifiés via cette plateforme.
Qu'est-ce qu'APProch ?;Le portail donnant accès aux entreprises aux projets d'achats en préparation;Le référentiel des achats d'énergie;L'outil interne de conduite des projets d'achat;La plateforme de publication des consultations;2;9 387 entreprises y étaient inscrites fin 2025.
Combien d'agents ont été formés à la commande publique et aux techniques d'achat en 2025 ?;12 849;186;6 429;322;4;12 849 journées-stagiaires ont été comptabilisées.
Quand le premier SPASER de l'État a-t-il été publié ?;Le 1er avril 2026;Le 2 avril 2025;Le 15 décembre 2025;Le 10 décembre 2025;5;Il fixe 13 grands objectifs déclinés en 42 mesures.
Quel objectif de réduction des émissions de gaz à effet de serre le SPASER fixe-t-il d'ici 2027 ?;30 %;48 %;80 %;22 %;5;Cet objectif cible les secteurs les plus émetteurs des achats de l'État.
Quel pourcentage des marchés de l'État notifiés comprenait une considération environnementale en 2025 ?;30 %;48 %;22 %;80 %;5;48 % comprenaient une considération sociale.
Que signifie le label RFAR ?;Référentiel des fournisseurs agréés et régionaux;Relations fournisseurs et achats responsables;Régime français d'achats renouvelables;Réseau français des acheteurs responsables;3;Il couvrait environ 80 % des dépenses d'achat de l'État fin 2025.
Combien de critères définissent la souveraineté numérique selon la circulaire de février 2026 ?;Quatre;Cinq;Deux;Trois;5;Immunité au droit extra-européen, capacité de substitution et maîtrise des technologies clés.
Au-delà de quel montant un marché numérique avec hébergement en nuage privé est-il soumis à un contrôle renforcé ?;100 000 euros;2 millions d'euros TTC par an;500 000 euros;10 millions d'euros;3;Un avis conforme de la DINUM est requis.
Combien de rendez-vous d'affaires ont été organisés lors de la 2e édition des Rendez-vous de l'innovation en novembre 2025 ?;545;186;488;52;2;488 agents publics et entreprises se sont inscrits.
À combien se sont élevées les dépenses en carte d'achat en 2025 ?;3,65 milliards d'euros;443 millions d'euros;800 millions d'euros;24,4 milliards d'euros;3;32 % des demandes de paiement ont été traitées automatiquement.
Combien d'experts ont participé à l'expérimentation sur l'IA dans la fonction achat au premier semestre 2025 ?;97;6;322;Près de 52;5;Ils ont exploré six cas d'usage prioritaires.
De quel pourcentage les dépenses d'achat de l'État (hors défense et sécurité) ont-elles diminué en 2025 ?;22 %;1,9 %;30 %;8,4 %;3;Elles s'établissent à 24,4 milliards d'euros.
Quelle catégorie d'achat représente la plus grande part des dépenses de l'État en 2025 ?;Les prestations intellectuelles (2,7 %);L'énergie et les carburants (8,8 %);L'informatique et les télécommunications (17,1 %);Les achats liés à l'immobilier (40,2 %);5;Suivent l'informatique et les télécommunications avec 17,1 %.
Combien de fournisseurs différents l'État a-t-il eu en 2025 (y compris achats de faible montant) ?;22;143 903;11 972;30;3;97 % d'entre eux sont domiciliés en France.
Quel est le premier fournisseur de l'État en 2025 en montant de dépenses ?;L'UGAP;EDF;Orange;La Poste;2;L'UGAP a représenté 1,875 milliard d'euros de dépenses.
Quel montant total ont représenté les achats interministériels en 2025 ?;1,78 milliard d'euros;3,65 milliards d'euros;24,4 milliards d'euros;1,87 milliard d'euros;3;Cela inclut les marchés interministériels et les commandes UGAP.
Quelle nouvelle stratégie d'achat interministérielle supprime l'obligation de dérogation auprès de la DAE ?;L'achat de véhicules d'occasion;L'électricité et le gaz;Les denrées alimentaires;Les prestations intellectuelles immobilières;2;Elle favorise aussi le réemploi et l'économie circulaire.
