Quels sont les 5 piliers de l'architecture du contrôle fiscal français ?,"Le ciblage, l'outil de gestion, les opérations nationales, les opérations locales et l'action judiciaire."
Quelle structure nationale est chargée de détecter les fraudes complexes par l'Intelligence Artificielle ?,La MRV (Mission Requêtes et Valorisation).
Quelle est la fonction principale des PNAD (Pôles Nationaux d'Analyse de Données) ?,Assister la MRV dans le traitement massif des données et produire des fiches de ciblage.
Que signifie l'acronyme PILAT dans le contexte de la DGFiP ?,Pilotage et Analyse du Contrôle Fiscal.
Quel outil numérique centralise les cibles de fraude et distribue les dossiers aux agents ?,Le logiciel PILAT.
"Dans la gouvernance de PILAT, que représente la MOA (Maîtrise d'Ouvrage) ?",Le Service de la Sécurité Juridique et du Contrôle Fiscal (le métier).
Quelle entité assure la MOE (Maîtrise d'Œuvre) technique du projet PILAT ?,La Direction des Projets Numériques.
Quelle direction nationale (DCN) contrôle les très grandes entreprises et le CAC 40 ?,La DVNI (Direction des Vérifications Nationales et Internationales).
Quelle structure cible les personnes physiques à très forts enjeux comme les grandes fortunes ?,La DNVSF (Direction Nationale d'Enquêtes et de Vérifications des Situations Fiscales).
Quel service est chargé du renseignement administratif et des perquisitions fiscales (visites domiciliaires) ?,La DNEF (Direction Nationale des Enquêtes Fiscales).
Quel niveau territorial est géré par les DIRCOFI ?,Le niveau interrégional.
Quels types d'entreprises relèvent de la compétence des DIRCOFI ?,Les Entreprises de Taille Intermédiaire (ETI) et les grosses PME.
Quelle brigade locale effectue les contrôles sur place pour les artisans et les TPE ?,Les BDV (Brigades Départementales de Vérification).
Quelle est la mission spécifique des BCR (Brigades de Contrôle et de Recherche) ?,L'investigation de terrain pour la lutte contre le travail dissimulé et l'exercice du droit d'enquête.
Quel service assure le contrôle sur pièces (depuis le bureau) pour les professionnels ?,Le PCE (Pôle de Contrôle Expertise).
Quelle unité s'occupe du contrôle sur pièces des dossiers patrimoniaux des particuliers ?,Le PCRP (Pôle de Contrôle Revenus et Patrimoine).
Quelles structures gèrent le contrôle formel de base tel que les relances et demandes de justificatifs ?,Les SIE (entreprises) et les SIP (particuliers).
Quel organisme a remplacé le SEJF en mai 2024 pour le volet judiciaire ?,L'ONAF (Office National Anti-Fraude).
Sous quelle autorité hiérarchique l'ONAF exerce-t-il ses missions ?,Sous la direction de magistrats.
Quels types de fraudes complexes relèvent de la compétence de l'ONAF ?,"Les fraudes à la TVA, aux douanes, aux aides d'État et le blanchiment."
Que signifie l'acronyme OFJ au sein de l'Office National Anti-Fraude ?,Officier Fiscal Judiciaire.
Quels sont les pouvoirs pénaux spécifiques dont disposent les OFJ et ODJ ?,"Les écoutes, les gardes à vue et les saisies d'avoirs criminels."
Comment l'approche du contrôle fiscal a-t-elle évolué selon la synthèse ?,Elle est passée d'une approche artisanale basée sur le flair à une logique industrielle basée sur la donnée.
Quel est l'objectif du projet PILAT concernant le travail des vérificateurs ?,"Formater, standardiser et tracer le travail de A à Z."
Quel pilier de l'organisation fiscale est qualifié de « cerveau » du système ?,Le ciblage (exploitation de la donnée par la MRV/PNAD).
Quels agents constituent le « bras armé répressif » en cas de criminalité organisée ?,Les officiers de l'ONAF (Officiers Fiscaux et Douaniers Judiciaires).
À quel niveau de l'organisation pyramidale se situent les DDFiP et DRFiP ?,Au niveau local.
