De la fusion de quelles directions est issue la Direction générale des Finances publiques (DGFiP) ?;DGDDI et DGI;DGI et DGCP;URSSAF et DGI;DGCP et DGDDI;3;La DGFiP est issue de la fusion historique entre la Direction générale des Impôts (DGI) et la Direction générale de la Comptabilité publique (DGCP).
Comment s'appelle la réorganisation stratégique visant à accroître la présence des agents de la DGFiP sur le terrain ?;Nouveau Réseau de Proximité (NRP);Action Publique 2022;Guichet Fiscal Unique;Trésorerie de Demain;2;Le Nouveau Réseau de Proximité (NRP) a multiplié les lieux d'accueil, notamment au sein des espaces France Services.
Combien de comptes et budgets annuels la DGFiP produit-elle environ pour les collectivités et établissements publics ?;50 000;170 000;500 000;1 000 000;3;La DGFiP produit près de 170 000 comptes et budgets chaque année pour les communes, départements, régions et établissements publics.
Qu'est-ce que le rôle des impôts directs sur le plan juridique ?;Un registre informatif sans valeur légale;Un simple relevé de compte;Un document d'évaluation statistique;Un titre exécutoire collectif;5;Le rôle des impôts directs n'est pas un simple registre, c'est un titre exécutoire collectif doté d'une force juridique majeure permettant le recouvrement.
Avec quelle institution la DGFiP collabore-t-elle pour le Guichet unique des formalités d'entreprises ?;L'INSEE;L'URSSAF;L'INPI;La Banque de France;4;Le Guichet unique pour les formalités d'entreprises est piloté en synergie avec l'Institut National de la Propriété Industrielle (INPI).
Quel mécanisme européen permet aux entreprises de déclarer la TVA pour leurs ventes à distance intracommunautaires ?;Le système CHORUS;Le fichier FICOBA;L'EDI;Le guichet unique OSS et IOSS;5;Les régimes OSS (One Stop Shop) et IOSS permettent aux assujettis de déclarer et payer la TVA due dans l'UE via une interface unique.
Quel principe fondamental en matière de contrôle fiscal a été instauré par la loi ESSOC d'août 2018 ?;Le droit à l'erreur;La présomption de fraude;Le contrôle systématique annuel;La suppression des pénalités;2;La loi ESSOC consacre le droit à l'erreur, postulant la bonne foi a priori du contribuable lors d'une première infraction non intentionnelle.
Quel a été le rendement du contrôle fiscal en 2019, illustrant la baisse liée à la loi ESSOC ?;13,8 milliards d'euros;15,1 milliards d'euros;16,1 milliards d'euros;21,1 milliards d'euros;2;Le rendement est tombé à 13,8 milliards en 2019, traduisant une baisse volontaire au profit de l'accompagnement par rapport au pic de 21,1 milliards en 2015.
Quelle procédure de contrôle fiscal implique un examen très approfondi et concerne environ 3 000 dossiers de particuliers à forts enjeux annuellement ?;Le Contrôle Formel et sur Pièces (CSP);L'Examen de Comptabilité (EC);L'Examen Contradictoire de la Situation Fiscale Personnelle (ESFP);La Vérification de Comptabilité (VC);4;L'ESFP est la procédure inquisitoire phare pour vérifier la cohérence globale entre revenus, trésorerie, train de vie et patrimoine.
Quel fichier permet à l'administration de recenser l'intégralité des ouvertures et clôtures de comptes sur le territoire national ?;FICOBA;CHORUS;GMBI;Fantoir;2;Le Fichier National des Comptes Bancaires et Assimilés (FICOBA) est un outil de contrôle massif des bases de données financières pour l'administration.
Quel est le montant de l'amende forfaitaire standard pour une contravention de 4e classe, comme l'usage du téléphone au volant ?;68 euros;200 euros;135 euros;800 euros;4;Le montant est de 135 euros pour une contravention de 4e classe, tandis que la 3e classe est à 68 euros et la 5e à 200 euros.
Quelle procédure exorbitante du droit commun permet au comptable public de bloquer des fonds d'un débiteur détenus par un tiers ?;La Saisie Conservatoire;La SATD (Saisie Administrative à Tiers Détenteur);L'Injonction de Payer;L'Avis de Mise en Recouvrement;3;La SATD fusionne les anciennes procédures et permet de saisir impérativement les fonds d'un redevable auprès des banques, employeurs ou locataires.
Sur quel montant le Solde Bancaire Insaisissable (SBI) est-il statutairement aligné pour garantir un minimum vital au débiteur ?;Le SMIC net;Le minimum vieillesse;Le Revenu de Solidarité Active (RSA);Le seuil de pauvreté;4;Le montant du SBI est aligné sur le RSA pour une personne seule, soit 651,69 euros sanctuarisés indépendamment de la dette.
Quel document cadastral relie les polygones géographiques aux propriétaires et récapitule les évaluations foncières ?;La Matrice Cadastrale;Le Plan Cadastral;Le Répertoire Topo;Le Livre Foncier;2;La Matrice Cadastrale est le cerveau fiscal du système qui identifie le redevable légal de l'impôt et détaille les évaluations.
À quelle date l'immense majorité des bases d'évaluation de la Valeur Locative Cadastrale (VLC) pour l'habitation est-elle historiquement figée ?;1er janvier 1956;1er janvier 1980;1er janvier 1990;1er janvier 1970;5;Les valeurs locatives cadastrales historiques sont restées pétrifiées sur les conditions du marché locatif du 1er janvier 1970, créant une forte iniquité et obsolescence.
Quelle nouvelle obligation déclarative numérique impose aux propriétaires de préciser la situation d'occupation de leurs locaux ?;Le service Gérer Mes Biens Immobiliers (GMBI);Le projet Foncier Innovant;Le formulaire EFI;Le télépaiement OSS;2;GMBI est déployé nationalement pour fiabiliser les matrices fiscales et identifier les résidences secondaires et logements vacants suite à la fin de la taxe d'habitation.
Quelle technologie le projet Foncier Innovant utilise-t-il pour identifier les constructions non déclarées comme les piscines ?;Les drones de la police municipale;L'intelligence artificielle et la télédétection aérienne;Le recoupement des factures d'eau;Les dénonciations anonymes;3;Ce projet croise les vues aériennes de l'IGN avec des algorithmes d'apprentissage automatique pour une vérification omnispatiale du bâti en vue d'un redressement fiscal.
