"Selon le document, quel rôle fondamental le système d'information joue-t-il dans l'exercice des missions de la DGFiP ?","Il conditionne à la fois la qualité et la solidité du service public rendu, et le travail quotidien des agents."
Sur quelle période la programmation financière de la DGFiP prévoit-elle des moyens en forte hausse pour son système d'information ?,Sur la période 2023-2027.
Quel est le titre complet de l'OBJECTIF 13 de la DGFiP ?,"Bâtir une nouvelle gouvernance, plaçant l’utilisateur au centre et s’appuyant sur les forces internes."
Quel est le titre complet de l'OBJECTIF 14 de la DGFiP ?,Consolider le système d’information tout en réussissant la transformation numérique.
"Dans le cadre de l'OBJECTIF 13, pourquoi la gouvernance des systèmes d'information sera-t-elle rénovée ?",Pour améliorer la capacité à prioriser les projets dans la durée et impliquer davantage les métiers et utilisateurs.
Quel est le titre du CHANTIER 13-1 ?,Rénover la gouvernance du système d’information.
Comment le schéma directeur des systèmes d'information sera-t-il articulé avec les priorités des métiers ?,Dans une perspective glissante à cinq ans.
Quel est le titre du CHANTIER 13-2 ?,Placer l’utilisateur au centre du système d’information.
"En plus des groupes d'utilisateurs, comment les utilisateurs seront-ils directement associés à la mise en place des projets ?",Sous la forme de services témoins et par l'utilisation de la méthode « UX ».
Que devront faire les utilisateurs en cas d'incident informatique ?,Ils devront être prévenus sans délai et être aidés pour y faire face.
Quel objectif est fixé pour la durée d'indisponibilité des applications pour les agents en 2027 par rapport à 2022 ?,La diviser par deux.
Quel objectif est fixé pour la durée d'indisponibilité des applications pour les usagers en 2027 par rapport à 2022 ?,La diviser par deux.
Quel est le titre du CHANTIER 13-3 ?,S’appuyer sur les forces internes pour maximiser la réussite des chantiers.
Quel est l'indicateur de performance concernant la formation des agents informaticiens ?,Un taux de satisfaction de 95 % des besoins de formation prioritaires par an.
Quels sont les trois grands axes autour desquels les évolutions futures du système d'information seront articulées ?,"La résorption de la dette technique, la réussite des projets numériques et la transformation via le cloud."
Quel est le titre du CHANTIER 14-1 ?,Intensifier la résorption de la dette technique.
"Pour éviter la reconstitution de la dette technique, quelle sera la priorité ?",La transition des applications vers le cloud.
Quel est l'objectif de taux de conformité à la cible technologique de la DGFiP pour 2027 ?,Atteindre 78 % en 2027.
Quel est l'objectif pour la proportion du système d’information basculé sur le cloud en 2027 ?,Atteindre 30 % en 2027.
Quel est le titre du CHANTIER 14-2 ?,Mener à bien dans les délais les projets numériques.
"Partout où cela sera possible, les projets seront menés selon la méthode _____, en associant les utilisateurs et en livrant régulièrement de nouvelles fonctionnalités.",agile
La démarche « _____ » consiste à prendre en compte dès le début les exigences finales de chaque projet en termes de sécurité ou de performance.,devops
Terme : Démarche Expérience Utilisateur (UX),Définition : Une méthode associant étroitement les utilisateurs dans toutes les phases d'un projet pour développer des applications plus intuitives et adaptées.
Quel est l'objectif de dérive maximale du coût budgétaire des projets entre 2023 et 2027 ?,Elle doit être inférieure à 20 %.
Quel est le titre du CHANTIER 14-3 ?,Exploiter au maximum les données au profit des missions de la DGFiP.
Comment les données de la DGFiP seront-elles valorisées pour les échanges avec les partenaires ?,Par le développement des échanges de données au moyen des API.
Terme : Lac de données,Définition : Un système permettant à la DGFiP de travailler de façon sécurisée et optimale sur l'immense quantité de données issues de ses différentes applications.
Que permettent les données du lac de données aux datascientists ?,"De mener des analyses prédictives, en s'appuyant notamment sur des techniques d’intelligence artificielle."
"En plus de la lutte contre la fraude, qu'amélioreront les nouveaux outils d'exploitation des données ?",La maîtrise de l’activité et le service rendu aux usagers et partenaires.
"Pour garantir un système d'information maîtrisé, comment la gouvernance sera-t-elle rénovée ?",L'utilisateur sera placé au centre de la stratégie informatique et les ressources internes seront consolidées et valorisées.
"Comment les utilisateurs, usagers ou agents, seront-ils mieux associés pour améliorer les applications ?","Ils seront mieux informés et associés pour identifier les améliorations, prioriser les travaux et imaginer de nouvelles fonctionnalités."
Quel type d'outil sera mis en place pour alléger certaines tâches répétitives pour les agents ?,Des assistants digitaux.
Comment la DGFiP s'assurera-t-elle de la qualité de service de son système d'information ?,La satisfaction des utilisateurs sera mesurée et ils seront informés des résultats obtenus par rapport aux objectifs.
"Quel est le nom de l'immeuble, siège du Service des systèmes d’information de la DGFiP ?",Immeuble Le Montaigne (Noisy-le-Grand).
