Qui occupe la fonction de directrice générale des Finances publiques depuis mars 2024 ?;Jérôme Fournel;Bruno Le Maire;Amélie Verdier;Guillaume Robert;4;Amélie Verdier a pris ses fonctions en mars 2024 plaçant son mandat sous le signe de l'engagement et de la réactivité.
Quelle période couvre l'actuel Cadre d'objectifs et de moyens (COM) de la DGFiP ?;2020-2022;2022-2025;2023-2027;2024-2030;4;Le COM 2023-2027 constitue la feuille de route stratégique définissant 209 actions et 7 axes de transformation.
Quel montant total de recettes a été encaissé suite au contrôle fiscal en 2024 (montants recouvrés) ?;9,3 milliards d'euros;11,4 milliards d'euros;16,7 milliards d'euros;1,5 milliard d'euros;3;Si 16,7 milliards ont été notifiés (réclamés), le montant effectivement recouvré (encaissé) s'élève à 11,4 milliards d'euros.
Quelle nouvelle entité a remplacé le Service d'enquêtes judiciaires des finances (SEJF) au 1er mai 2024 ?;La DNEF;Tracfin;L'ONAF;La DNVSF;4;L'Office national anti-fraude aux finances publiques (ONAF) a succédé au SEJF pour traiter la grande délinquance financière.
Selon l'étude de septembre 2024, à combien est estimé le manque à gagner de TVA en France ?;Entre 1 et 3 Mds €;Entre 6 et 10 Mds €;Entre 15 et 20 Mds €;Entre 20 et 25 Mds €;3;Le manque à gagner est estimé entre 6 et 10 milliards d'euros, soit 4 à 7 % de la TVA collectée.
Quel article du Livre des procédures fiscales permet aux agents de la DNEF d'effectuer des visites domiciliaires ?;Article L16 B;Article 55;Article L80 B;Article 209;2;L'article L16 B autorise le droit de visite et de saisie pour rechercher les preuves des fraudes les plus graves.
Quel pourcentage des contrôles fiscaux des professionnels a été ciblé par l'intelligence artificielle en 2024 ?;25 %;40 %;56 %;75 %;4;L'intelligence artificielle a participé au ciblage de 56 % des contrôles fiscaux des professionnels en 2024.
Quelle nouvelle fonctionnalité majeure a été ajoutée à l'application mobile impots.gouv en 2024 ?;Le paiement par crypto-monnaie;La déclaration de revenus complète;La demande de rescrit fiscal;La prise de rendez-vous visio;3;Il est désormais possible de remplir et valider l'intégralité de sa déclaration de revenus directement sur smartphone.
Quelle mission de recouvrement a été transférée des Douanes à la DGFiP au 1er janvier 2024 ?;La TVA à l'importation;La taxe sur les produits pétroliers;Les droits de navigation;L'accise sur les tabacs et les alcools;5;Le recouvrement de l'accise sur les tabacs et les alcools relève désormais de la DGFiP dans le cadre de l'unification du recouvrement.
Quel délai moyen de mise à jour du fichier immobilier a été atteint en 2024 ?;85 jours;55 jours;25,3 jours;10 jours;4;Le délai a été réduit à 25,3 jours, surpassant l'objectif initial de 85 jours fixé par le Cadre d'objectifs et de moyens.
Quel dispositif a été mis en place pour les victimes de violences conjugales dans les systèmes d'information ?;Une aide financière immédiate;L'anonymisation des adresses;Un hébergement d'urgence;Une exonération d'impôt;3;Ce dispositif permet de masquer l'adresse des victimes pour éviter que l'ex-conjoint n'y ait accès via les documents fiscaux.
À quelle date la généralisation du Compte financier unique (CFU) pour les collectivités locales doit-elle être achevée ?;2024;2025;2026;2027;4;La loi de finances pour 2024 prévoit la généralisation progressive du CFU jusqu'en 2026.
Quel est l'objectif principal de l'application « Faritas » déployée en 2024 ?;Gérer la taxe foncière;Faciliter le recouvrement de la taxe de séjour;Calculer la CVAE;Payer les amendes de stationnement;3;Faritas vise à améliorer la gestion et le recouvrement de la taxe de séjour pour les collectivités territoriales.
Quel système européen est entré en vigueur le 1er janvier 2024 pour détecter la fraude à la TVA dans le e-commerce ?;FATCA;DAC7;CESOP;Pilier 2;4;Le système CESOP centralise les informations sur les paiements transfrontaliers pour détecter la fraude à la TVA.
Combien de bâtiments la Direction de l'immobilier de l'État (DIE) a-t-elle livrés pour les Jeux Olympiques 2024 ?;12;25;37;50;4;La DIE a livré 37 bâtiments et installations pour les Jeux Olympiques et Paralympiques de Paris 2024.
Quel est le taux de satisfaction global des usagers envers la DGFiP selon le baromètre 2024 ?;72 %;82 %;88 %;94 %;3;82 % des Français se disent satisfaits, faisant de la DGFiP le service public avec le plus haut taux de satisfaction.
Quel événement climatique a déclenché une aide exceptionnelle pour les entreprises de Mayotte fin 2024 ?;Le cyclone Belal;La tempête Ciaran;Le cyclone Chido;L'ouragan Irma;4;Le passage du cyclone Chido en décembre 2024 a entraîné le déploiement d'un dispositif d'aide financière d'urgence.
Quel est le nom du service dédié à l'accompagnement fiscal des investisseurs étrangers ?;Invest in France;Business France;Tax4Business;France Relance;4;Tax4Business est le guichet unique de la DGFiP pour clarifier les obligations fiscales des investisseurs étrangers.
Quelle est l'échéance fixée pour l'extinction définitive de la Cotisation sur la valeur ajoutée des entreprises (CVAE) ?;2025;2027;2030;2032;4;Le rapport indique que l'extinction de la CVAE a été reportée à l'horizon 2030.
Combien d'agents compte environ la Direction générale des Finances publiques ?;50 000;75 000;95 000;120 000;4;La DGFiP s'appuie sur un collectif de près de 95 000 agents répartis sur tout le territoire.
Quel protocole a été signé le 30 mai 2024 pour la protection des agents ?;Coopération avec la Police et la Gendarmerie;Assurance risque attentat;Partenariat avec les sociétés de sécurité privée;Accord syndical sur le télétravail;2;Un protocole a été signé avec les forces de sécurité intérieure pour renforcer la sécurité des agents, notamment en contrôle fiscal.
Quand la facturation électronique entre entreprises deviendra-t-elle obligatoire via des plateformes partenaires ?;Dès 2024;À partir de 2025;À partir de 2026 ou 2027;À partir de 2030;4;La mise en œuvre progressive de la facturation électronique débutera à partir de 2026 ou 2027 selon la taille des entreprises.
Quel outil de datavisualisation permet aux décideurs locaux de comparer leurs agrégats financiers ?;Chorus Pro;Attractivité des territoires (ADT);TotEM;GMBI;3;L'application ADT permet aux élus d'analyser et de comparer la situation financière de leur collectivité.
Combien de Centres de gestion financière (CGF) ont été déployés au total entre 2019 et 2024 ?;19;32;42;55;4;42 CGF ont été déployés pour moderniser la chaîne de dépense de l'État en regroupant services facturiers et centres de services partagés.
Quel réseau interne œuvre pour l'égalité professionnelle femmes-hommes à la DGFiP ?;Elles à Bercy;Femmes de la DGFiP;Mixité Finances;Égalité Plus;3;Le réseau « Femmes de la DGFiP » compte plus de 3 100 adhérents et œuvre pour la mixité au sein de la direction.
