Sur quel diagnostic la DGFiP s'appuie-t-elle pour sa démarche de réduction des émissions de gaz à effet de serre ?,"Sur son bilan d’émission de gaz à effet de serre (BEGES), établi en 2022."
"Comment se nomme la démarche écoresponsable globale de la DGFiP, engagée depuis 2020 ?",EcoFiP.
Quel document la DGFiP devait-elle publier au premier semestre 2023 pour formaliser ses actions de réduction d'empreinte carbone ?,Un plan de transition énergétique.
L'OBJECTIF 15 vise à mettre en place une stratégie et une _____ adaptées pour approfondir la transition écologique de la DGFiP.,gouvernance
Quelle est la mission principale du CHANTIER 15-1 ?,Mettre en œuvre un plan de transition doté d’une gouvernance et de moyens dédiés.
Quelle structure a été mise en place pour orienter et piloter les actions écoresponsables de la DGFiP ?,Une mission dédiée « Ecofip ».
"D'après le texte du chantier 15-1, quand le BEGES sera-t-il actualisé pour la première fois ?",En 2025.
"Selon l'indicateur de l'OBJECTIF 15, à quel horizon est prévue l'actualisation du BEGES et du plan de transition ?",En 2027.
Quel est l'objectif du CHANTIER 15-2 ?,Susciter une dynamique écoresponsable mobilisatrice autour du plan de transition.
Quel objectif la DGFiP s'est-elle fixé pour la part des agents formés aux enjeux de la transition écologique d'ici 2027 ?,100 % des agents.
L'écoresponsabilité devra figurer parmi les objectifs assignés à quelle catégorie de personnel ?,Les cadres dirigeants.
L'OBJECTIF 16 vise à agir collectivement pour réduire l'empreinte carbone sur quels trois domaines principaux ?,"Les bâtiments, les déplacements et les achats."
Quel est l'objectif du CHANTIER 16-1 ?,Accélérer la réduction de la consommation énergétique des bâtiments et des infrastructures informatiques.
Quel est l'objectif de la DGFiP concernant les chaudières au fioul d'ici 2027 ?,Leur suppression totale.
Quel est l'objectif de réduction du nombre de chaudières à gaz au sein de la DGFiP d'ici 2027 ?,Une baisse de 15 %.
Quels systèmes techniques seront exploités pour améliorer le contrôle et le pilotage de la consommation énergétique des bâtiments ?,Les systèmes de gestion technique du bâtiment (GTB) et d’automatisation et de contrôle des bâtiments (BACS).
Comment la DGFiP compte-t-elle réduire la consommation énergétique de son système d'information ?,En faisant passer le nombre de salles d’hébergement de dix en 2022 à quatre en 2025.
Quel est le premier poste d'émission de gaz à effet de serre identifié par la DGFiP ?,Les déplacements des agents pour se rendre au travail.
Quel est l'objectif du CHANTIER 16-2 ?,Réduire l’impact des déplacements en mettant en place un plan de mobilité.
Que signifie l'acronyme PDME dans le contexte du plan de mobilité ?,Plan de mobilité employeur.
Quel est l'objectif pour la mise en place de plans de mobilité dans les directions d'ici 2027 ?,100 % des directions devront en avoir mis un en place.
Quelle part du parc automobile de la DGFiP devra être composée de véhicules électriques (ou à très faibles émissions) d'ici 2027 ?,Deux tiers (2/3) du parc.
"Afin de limiter les déplacements professionnels, quel équilibre sera systématiquement recherché pour les réunions et formations ?",Le meilleur équilibre entre le distanciel et le présentiel.
"Pour les déplacements domicile-travail, quelles types de mobilités seront particulièrement accompagnées ?","Les mobilités douces (vélo, covoiturage, etc.)."
Quel est l'objectif du CHANTIER 16-3 ?,Se doter d’une politique d’achats écoresponsable.
Quel label la DGFiP vise-t-elle à obtenir dans le cadre de sa politique d'achats responsables ?,Le label Relations fournisseurs et achats responsables (RFAR).
Quel est l'objectif pour 2025 concernant la part des projets de marchés qui doivent comporter une disposition environnementale ?,100 %.
"Pour améliorer la performance environnementale des contrats, la DGFiP développera l'approche fondée sur le _____.",cycle de vie
Que s'assurera systématiquement la DGFiP concernant son mobilier et son matériel informatique réformés ?,Leur réemploi ou leur recyclage.
Comment la DGFiP poursuivra-t-elle la forte réduction de sa consommation de papier ?,"Grâce à la signature électronique, au visa dématérialisé et aux échanges dématérialisés avec les contribuables."
