Quels sont les deux objectifs principaux de la DGFiP pour renforcer le pilotage de la performance et du changement ?,"1) Renforcer le contrôle de gestion, l'audit et la maîtrise des risques; 2) Diffuser la culture de la transformation et mettre à profit les innovations numériques."
"Selon l'Objectif 17, vers quoi les indicateurs de performance de la DGFiP seront-ils réorientés ?","Vers la mesure de l’efficacité, de l’efficience et de la satisfaction des usagers et partenaires."
Quel outil sera étendu pour pouvoir rendre compte des résultats atteints et de l'utilisation optimale des moyens ?,La data visualisation.
"Pour accompagner la réforme de la responsabilité des gestionnaires publics, quelles fonctions la DGFiP doit-elle renforcer ?",Ses fonctions d’audit et de contrôle interne.
L'Objectif 17 vise à ancrer la recherche de la _____ dans le pilotage de la DGFiP.,performance
Quel est l'objectif du Chantier 17-1 ?,Mesurer l’efficience des missions de la DGFiP.
Quelle solution est envisagée pour renforcer l'efficacité de certaines missions reposant sur peu d'experts dans les petites directions ?,Une supra-départementalisation ou une régionalisation de ces missions.
Quel est l'objectif pour 2025 concernant les indicateurs d'efficience par structure métier ?,Doter chaque principal type de structure métier d'au moins un indicateur d'efficience.
Quel est l'objectif chiffré pour le nombre total d'indicateurs d'efficience en 2027 ?,"Au moins 30 indicateurs au total, avec au moins un par structure métier."
Comment la culture de la performance sera-t-elle diffusée auprès de l'encadrement ?,Par la formation de l'ensemble de l'encadrement à la compréhension des enjeux et à l'exploitation des travaux du contrôle de gestion.
Quel est l'objectif du Chantier 17-2 ?,Placer le pilotage par la performance au cœur des méthodes de travail.
Quelle est l'échéance pour la mise en place du tableau de bord des directeurs ?,2024.
Quand est-il prévu de mettre en place des tableaux de bord modulables pour les services infra-départementaux ?,En 2025.
Quand est prévue la première enquête sur l'impact du contrôle de gestion sur le pilotage du réseau ?,En 2024.
Quel est le rôle renforcé des contrôleurs de gestion mentionné dans le Chantier 17-2 ?,Leur rôle dans l’aide à la prise de décision sera renforcé.
Quel est l'objectif du Chantier 17-3 ?,"Renforcer la capacité d’audit, d’alerte et d’anticipation."
Pour quelle raison principale les forces d'audit dans le réseau seront-elles renforcées ?,Pour tenir compte des exigences de la réforme de la responsabilité des gestionnaires publics.
Quel est l'objectif du nombre d'audits nationaux à réaliser en 2027 ?,32 audits nationaux.
Quel est l'objectif du nombre d'audits locaux à réaliser en 2027 ?,2 000 audits locaux.
"La réforme de la responsabilité des gestionnaires publics appelle à un changement de culture où tous les métiers doivent s'interroger sur le pilotage, les risques financiers et la _____.",maîtrise des risques
Quel est l'objectif du Chantier 17-4 ?,Renforcer la résilience de la DGFiP face aux crises.
Comment la gouvernance de la gestion de crise sera-t-elle redéfinie ?,Grâce à la structuration d’un réseau de référents « continuité d’activité ».
Quel est l'indicateur de résilience concernant les exercices de crise propres à la DGFiP ?,Un exercice de crise propre à la DGFiP réalisé par an.
Quel est l'objectif de couverture des missions et structures par un plan de continuité d’activité (PCA) dès 2023 ?,100 % des plans de continuité d’activité mis à jour chaque année.
"Quel est le but de l'Objectif 18, ""Accompagner davantage les transformations"" ?",Garantir la réussite des projets par la plus grande association et mobilisation des équipes.
Pourquoi est-il crucial de partager les orientations stratégiques avec les agents selon l'Objectif 18 ?,"Pour mieux faire connaître et comprendre les transformations, et favoriser l’adhésion au changement."
Quel est l'objectif du Chantier 18-1 ?,Renforcer la conduite du changement et le pilotage des métiers.
Sous quelles formes un accompagnement des collectifs de travail sera-t-il proposé dans le cadre des transformations ?,"Sous forme de coaching collectif, d’organisation d’échanges et de retours d’expériences."
Quel est l'objectif du Chantier 18-2 ?,Associer davantage les cadres à la conduite du changement.
Sur quels outils individuels les cadres peuvent-ils s'appuyer pour progresser dans leurs pratiques managériales ?,"Le coaching, le 360 degrés, et la plateforme d’écoute."
Comment l'implication des cadres sera-t-elle valorisée dans le contexte de la réforme de la haute fonction publique ?,Par la mise en place d’une part d’intéressement variable.
Quel est l'objectif d'augmentation du taux d'engagement des agents d'ici 2027 ?,Une augmentation de 15 points.
Quel est l'objectif du Chantier 18-3 ?,S’appuyer sur le numérique et l’innovation.
Quelle entité au sein de la DGFiP est mobilisée pour piloter et fournir les outils numériques nécessaires à la transformation ?,L'expertise de la DTNum (Direction de la Transformation Numérique).
Quel dispositif sera mis en place pour explorer les innovations technologiques et méthodologiques ?,Un dispositif de veille.
"Afin de limiter les saisies et de faciliter leur analyse, les données entrant dans le calcul des indicateurs devront être intégrées _____ dans la conception des applications.",nativement
Le renforcement du pilotage de la DGFiP exige qu'elle se dote d'outils _____ et performants.,adéquats
"En plus des administrations, avec quels autres secteurs la DGFiP pratiquera-t-elle l'analyse comparée ?",Le secteur privé et l'international.
Quel type d'audit sera développé en interne pour renforcer la capacité d'anticipation ?,L'audit informatique.
Qu'est-ce qui sera approfondi en sélectionnant les cas d'usage les plus intéressants pour mesurer l'efficience ?,Les expérimentations sur l’introduction d’une comptabilité analytique.
