Quel est l'objectif n°4 de la DGFiP concernant les usagers ?,"Garantir aux usagers le meilleur accès aux informations et services de la DGFiP, adapté à leurs besoins."
Quel est l'objectif n°5 de la DGFiP concernant le secteur public local ?,Améliorer le service à destination des collectivités locales.
Quel est l'objectif n°6 de la DGFiP vis-à-vis de ses autres partenaires ?,"Étendre les services de la DGFiP aux autres partenaires, par exemple en matière de paye ou d’éditique."
Que signifie l'acronyme NRP dans le contexte de la DGFiP ?,Nouveau Réseau de Proximité.
Quand la DGFiP prévoit-elle d'achever le déploiement de son Nouveau Réseau de Proximité (NRP) ?,En 2023.
La réorganisation du NRP a conduit à la création de la fonction de _____ aux décideurs locaux.,conseiller
"Dans le cadre du NRP, quels nouveaux services ont été constitués pour gérer la comptabilité des collectivités territoriales ?",Les services de gestion comptable (SGC).
De quel pourcentage le NRP a-t-il permis d'accroître le nombre de communes où la DGFiP est présente par rapport à 2019 ?,De 50 %.
Quels types de services ont disparu suite à la mise en place du NRP ?,Les SIP-SIE (Service des Impôts des Particuliers - Service des Impôts des Entreprises) et les trésoreries mixtes.
Quels nouveaux services d'appui ou transverses ont été créés dans le cadre du NRP ?,Les centres de contact des particuliers et des professionnels.
Quelle est la stratégie pour les organisations issues du NRP sur la période 2023-2027 ?,Elles seront stabilisées et consolidées.
"Dans le cadre du chantier 4-1, quel outil sera créé pour rendre les normes plus accessibles ?",Une base de rescrits et de documentation administrative.
Que signifie ENSAP ?,Espace numérique sécurisé de l’agent public.
Quelle fonctionnalité sera ajoutée à l'ENSAP pour les retraites des fonctionnaires de l'État ?,Une messagerie sécurisée.
Le chantier 4-2 vise à renforcer l'offre _____ de services.,multicanale
Quelle ambition est fixée pour les fonctionnalités de l'application smartphone impots.gouv ?,Qu'elles soient le plus possible alignées sur celles du site internet.
Comment la déclaration de revenus en ligne sera-t-elle réorganisée ?,"Comme une télé-procédure à part entière, et non plus comme la transposition de sa version papier."
Que signifie l'acronyme ENSU ?,Espace numérique sécurisé unifié.
"En plus des factures locales et hospitalières, quelle fonctionnalité l'ENSU prévoira-t-il systématiquement ?",La possibilité de paiement des créances publiques en ligne.
Quel est l'indicateur de performance associé à l'ENSU mentionné dans le document ?,Le taux de mise en ligne des factures publiques sur l’ENSU (63 %).
"Dans le cadre du chantier 4-3, la DGFiP poursuivra son engagement dans les _____ en partenariat avec l'ANCT.",maisons France services
Que signifie Ad'AP ?,Agendas d’accessibilité programmée.
Quel est l'objectif des Ad'AP pour la DGFiP ?,Satisfaire à l’obligation de mise en accessibilité de ses bâtiments classés ERP (établissements recevant du public).
Avec quel organisme un partenariat est-il en place pour l'accueil physique des indépendants ?,Les URSSAF.
Quel est l'objectif chiffré pour la rénovation des accueils au standard d'ergonomie d'ici 2027 ?,"100 % des directions dotées d’au moins un accueil rénové, avec au total au moins 200 accueils de ce type."
"Dans le cadre du chantier 4-4, quel programme définit les engagements de qualité de service que la DGFiP doit respecter ?",Le programme Services publics +.
Quel est l'objectif pour l'Indice de qualité de service (IQS) ?,Atteindre un taux de 80 %.
Quelles sont les deux structures complémentaires mises en place pour les collectivités territoriales dans le cadre du NRP ?,Le service de gestion comptable (SGC) et le conseiller aux décideurs locaux (CDL).
Que signifie CDL dans le contexte des services aux collectivités locales ?,Conseiller aux Décideurs Locaux.
Que signifie SGC dans le contexte des services aux collectivités locales ?,Service de Gestion Comptable.
Le succès de la mission de conseil assurée par les CDL doit s'appuyer sur la _____ des bonnes pratiques.,mutualisation
Quel service offrira un paiement en ligne des taxes d'urbanisme ?,Le service « gérer mes biens immobiliers » (GMBI).
À quoi servira le nouveau portail de gestion locale mis à la disposition des collectivités ?,"À étendre leurs possibilités de saisie de données, de simulation et de transmission des délibérations fiscales."
Quel projet permettra de développer les capacités d'échanges et de traitement des données des comptes locaux ?,Le projet Hélios 2.
Quel projet assurera la digitalisation des ventes mobilières des administrations ?,Le projet VEGA (ventes aux enchères digitales des administrations).
Quel est l'objectif quantitatif pour la fiabilisation des bases fiscales à l'initiative de la DGFiP ?,"3,16 millions de fiches."
"En plus des collectivités, à qui le nouveau portail de la gestion locale a-t-il vocation à être ouvert ?",Aux préfectures (pour le contrôle de légalité) et à d'autres usagers comme les plateformes de location saisonnière.
"Quel service d'infrastructure, positionné comme cloud souverain, sera développé par la DGFiP ?",Le Cloud Nubo.
La DGFiP ambitionne de devenir l'opérateur de l'État en matière d'éditique grâce à la montée en charge d'_____.,Imprimfip
Comment la DGFiP mettra-t-elle davantage à disposition de ses partenaires les données dont elle dispose ?,Par des interfaces de programmation applicatives (API).
Quel principe vise à simplifier la vie des usagers grâce aux API de la DGFiP ?,Le principe du « dites-le-nous une fois ».
Quel est l'objectif pour le nombre de clients externes API en production par an en 2027 ?,200 dossiers.
Quels services la DGFiP propose-t-elle dans son offre globale aux organismes publics nationaux ?,La paye à façon et l’extension de l’espace numérique sécurisé de l’agent public (ENSAP).
Avec quel organisme la DGFiP mène-t-elle une démarche de mutualisation pour refondre le système d'information des pensions ?,La Caisse des dépôts et consignations (CDC).
"À terme, quel outil sera mis en place pour les déposants de fonds au Trésor ?","Un portail bancaire, comprenant une banque en ligne rénovée et sécurisée."
