"Sisse ?","Service de l'information stratégique et de la sécurité économiques (DGE) ; 21 Disse en région."
"Sécurité économique ?","Réduction des risques extrafinanciers : conformité, réputation, fuites, numérique, sûreté."
"Organisation du guide ?","29 fiches, 7 familles A à G ; organisationnel, technique, comportemental."
"Rapport d'étonnement ?","Compte rendu brut d'un fait inhabituel au responsable sûreté ; signaux faibles."
"Information stratégique ?","Impact x probabilité, tableau de criticité, démarche à réitérer."
"Locaux ?","Responsable sûreté, zones hiérarchisées, protection graduée, badges, référents sûreté."
"Personnel temporaire ?","Répertoire, confidentialité, badge, accès limité, comptes clôturés en fin de contrat."
"Visiteurs ?","Déclarés, identifiés, badgés, accompagnés, circuit de notoriété, PC dédié non connecté."
"Propriété intellectuelle ?","Brevet, marque, dessins et modèles, droit d'auteur ; Inpi, EUIPO, OEB, Ompi."
"Contrefaçon ?","Veille, demande d'intervention douanière gratuite (1 an), mise en demeure, action en justice."
"Compétences clés ?","Cartographie, partage, fidélisation, clauses, assurance personne clé."
"Archives et rejets ?","Traçabilité, locaux sécurisés, broyeur à coupe croisée, effacement sécurisé."
"Flux de marchandises ?","Chaîne identifiée, Incoterms, OEA, scellés, biens à double usage, sanctions."
"Levée de fonds ?","Réputation de l'investisseur, lettre d'intention + NDA avant toute info stratégique."
"Contrôle IEF ?","Art. R151-3 CMF ; rescrit ; DG Trésor ; hors champ, autorisation, conditions ou refus."
"Fovi ?","Faux ordre de virement ; signatures multiples ; vigilance congés et vendredis."
"Escroquerie ?","5 ans et 375 000 € (art. 313-1 CP) ; variantes RIB, faux technicien, faux ministre."
"Extraterritorialité ?","FCPA, UK Bribery Act ; DPA, NPA, monitoring payé par l'entreprise."
"Loi de blocage ?","26 juillet 1968 ; contacter le Sisse en amont."
"Prestataires externalisés ?","Réputation, localisation, NDA, chaîne de sous-traitance, SecNumCloud."
"Sapin II ?","Art. 17 : ≥ 500 salariés et > 100 M€ ; 8 mesures dont code de conduite et cartographie."
"Poste de travail ?","12 caractères, MAJ, pare-feu, antivirus, chiffrement, compte non admin."
"Rançongiciels ?","Sauvegarde déconnectée, ne jamais payer, restreindre les macros, porter plainte."
"Communication ?","Centralisée, auditeurs vérifiés, e-réputation, se méfier de l'élicitation."
"Déplacements ?","Filtre de confidentialité, Wi-Fi/Bluetooth coupés, pas de juice jacking, Ariane."
"Salons ?","Éléments de langage, répliques, PC dédié, vigilance en fin de journée, rapport d'étonnement."
"Cloud Act ?","Loi américaine de 2018 : accès aux données d'opérateurs américains partout dans le monde."
