"Quel est l'objectif principal de la France énoncé dans la brochure, à atteindre d'ici 2040 ?",Devenir la première économie verte d’Europe.
"Selon Bruno Le Maire, la stratégie écologique du ministère s'articule autour de cinq axes. Citez-en un.","L'encadrement, la réindustrialisation/innovation, l'anticipation/adaptation, le financement, ou l'exemplarité."
"Entre 2005 et 2018, de combien la France a-t-elle réduit ses émissions de gaz à effet de serre (GES) tout en augmentant son PIB ?",Elle a réduit ses émissions de près de 20 % tandis que son PIB augmentait de 15 %.
Que signifie l'acronyme MACF dans le contexte de la politique écologique européenne ?,Mécanisme d’Ajustement Carbone aux Frontières.
Quel est l'objectif principal du Mécanisme d’Ajustement Carbone aux Frontières (MACF) ?,"Lutter contre les ""fuites de carbone"" en s'assurant que les produits importés sont soumis à un prix du carbone équivalent à celui des produits européens."
À partir de quelle année l'ajustement financier du MACF montera-t-il progressivement en charge ?,À partir de 2026.
Quelle loi a renforcé les sanctions pour non-réalisation du bilan d'émissions de gaz à effet de serre et conditionne certaines aides publiques à son respect ?,La loi Industrie verte.
Que signifie l'acronyme APE dans le contexte de l'État français ?,Agence des participations de l’Etat.
Quel est le rôle de l'APE en matière de transition écologique auprès des entreprises à capitaux publics ?,"Elle les incite à intégrer la dimension environnementale dans leur stratégie, notamment via les politiques d'achats et la rémunération des dirigeants."
"Quelle direction de Bercy est chargée de la lutte contre l'éco-blanchiment (""greenwashing"") ?","La Direction générale de la Concurrence, de la Consommation et de la Répression des fraudes (DGCCRF)."
Quel service de renseignement financier détecte les fraudes aux aides publiques comme MaPrimRénov’ ?,Tracfin.
Quel objectif la loi Climat et résilience a-t-elle fixé pour l'intégration de considérations environnementales dans les marchés publics d'ici 2026 ?,L'objectif est d'atteindre 100 %.
Quelle direction de Bercy est à vocation interministérielle et agit pour une commande publique plus durable ?,La direction des achats de l’Etat (DAE).
"La nouvelle approche de l'UE en matière d'accords commerciaux fait de _____ un ""élément essentiel"" de ces accords.",l'Accord de Paris
