Que signifie l'acronyme Tracfin ?;Trafic et contrôle des flux financiers illicites;Transmission des renseignements clandestins fiscaux;Traçabilité et régulation des circuits financiers internationaux;Traitement du renseignement et action contre les circuits financiers clandestins;5;Tracfin est la cellule de renseignement financier française, dont le nom signifie traitement du renseignement et action contre les circuits financiers clandestins.
Sous l'autorité de quels ministères Tracfin est-il placé ?;Le ministère des Affaires étrangères;Les ministères économiques et financiers;Le ministère de la Justice;Le ministère de l'Intérieur;3;Tracfin est la cellule de renseignement financier placée sous l'autorité des ministères économiques et financiers.
Depuis quelle année Tracfin fait-il partie des services de renseignement du premier cercle ?;Depuis 2025;Depuis 2015;Depuis 2008;Depuis 1990;4;Tracfin est, depuis 2008, l'un des six services de la communauté nationale du renseignement dits du premier cercle.
Quelles sont les trois missions de Tracfin ?;Contrôle fiscal, gestion budgétaire, politique monétaire;Diplomatie, défense militaire, coopération culturelle;Lutte contre la criminalité financière, fraude aux finances publiques, défense des intérêts fondamentaux de la Nation;Sécurité routière, santé publique, éducation nationale;4;Ces trois missions structurent l'ensemble de l'activité du service, qui ne peut pas s'autosaisir et dépend de ses capteurs financiers.
Combien d'agents comptait Tracfin au 31 décembre 2025 ?;231 agents;500 agents;50 agents;1 000 agents;2;Le service comptait 231 agents au 31 décembre 2025, dont 44 % de femmes et 52 % de fonctionnaires.
Combien de déclarations de soupçon Tracfin a-t-il reçues en 2025 ?;278 484;50 000;100 000;500 000;2;Ce chiffre représente une hausse de 32 % par rapport à 2024, portée essentiellement par le secteur financier.
Quelle part du flux déclaratif total le secteur financier représente-t-il en 2025 ?;93 %;50 %;20 %;7 %;2;Le secteur financier reste très largement majoritaire, avec 258 470 déclarations de soupçon sur un total de 278 484.
Quelle profession est le premier contributeur du flux déclaratif de Tracfin ?;Les banques et établissements de crédit;Les notaires;Les experts-comptables;Les casinos;2;Avec 163 630 déclarations de soupçon en 2025, les banques représentent 59 % du flux déclaratif total.
De combien ont progressé les déclarations de soupçon des banques entre 2024 et 2025 ?;+45 %;-10 %;+5 %;+200 %;2;Cette hausse particulièrement significative fait des banques le premier contributeur du flux déclaratif de Tracfin.
Quelle obligation pèse sur les prestataires de services sur crypto-actifs au titre du règlement TFR ?;Convertir automatiquement les crypto-actifs en euros;Collecter et vérifier les informations de traçabilité des transferts;Interdire tout transfert de crypto-actifs;Fermer leur activité en France;3;Le règlement TFR impose aux PSCA d'assurer la traçabilité des transferts de crypto-actifs, y compris hors Union européenne.
Quelle profession représente 33 % du flux déclaratif du secteur non financier ?;Les casinos;Les agents sportifs;Les notaires;Les avocats;4;Avec 6 590 déclarations de soupçon en 2025, en hausse de 64 %, les notaires dominent le secteur non financier.
Combien de déclarations de soupçon les agents sportifs ont-ils transmises en 2025 ?;Plusieurs milliers;Un millier;Aucune;Une centaine;4;Malgré leur assujettissement depuis 2013 et des actions de sensibilisation, aucun agent sportif n'a jamais transmis de déclaration de soupçon.
Quelle proportion des conseillers en investissement financier a déjà transmis une déclaration à Tracfin ?;3 %;50 %;90 %;100 %;2;Sur 6 707 CIF immatriculés, seuls 3 % ont déjà envoyé une déclaration de soupçon, ce que Tracfin juge trop faible.
Quelle est la longueur médiane de l'exposé des faits d'une déclaration de soupçon en 2025 ?;100 caractères;2 365 caractères;500 caractères;10 000 caractères;3;En dessous de 1 000 caractères, l'exposé des faits est jugé trop peu détaillé pour caractériser un soupçon.
Quelle part des déclarations de soupçon comporte au moins une pièce jointe ?;10 %;50 %;98 %;30 %;4;Seuls 2 % des déclarations de soupçon ne contiennent aucune pièce jointe, un taux globalement satisfaisant.
Quelles professions omettent le plus souvent de joindre des documents d'identification ?;Les PSCA;Les compagnies d'assurance;Les CARPA, avocats, commissaires de justice et AJMJ;Les banques et établissements de crédit;4;Ces professions du secteur juridique omettent plus régulièrement de joindre des pièces d'identification à leurs déclarations.
Quand l'État-major de lutte contre la criminalité organisée, EMCO, a-t-il été inauguré ?;Le 7 novembre 2025;Le 13 juin 2025;Le 14 mai 2025;Le 1er janvier 2025;4;L'EMCO a été inauguré par le président de la République pour rassembler les forces de l'État contre la criminalité organisée.
Combien de nouvelles sociétés éphémères ont été ciblées via le dispositif des circuits courts en 2025 ?;4;400;40;4 000;3;Ce ciblage a abouti à la saisie judiciaire de 40 millions d'euros, soit une hausse de 40 % par rapport à 2024.
Quel pourcentage des 8 000 sociétés signalées aux greffiers des tribunaux de commerce a été radié ?;80 %;100 %;50 %;10 %;2;Ce processus de signalement permet aux greffes de procéder à la radiation des sociétés éphémères identifiées.
De combien ont progressé les transmissions liées au secteur des jeux d'argent en 2025 ?;+125 %;+5 %;-20 %;+10 %;2;Cette forte hausse confirme l'engagement de Tracfin contre les schémas frauduleux spécifiques aux jeux d'argent et de hasard.
Quelle capitalisation mondiale des crypto-actifs est mentionnée dans le rapport ?;500 milliards d'euros;2 273 milliards d'euros;50 milliards d'euros;10 milliards d'euros;3;Ce chiffre, daté du 30 avril 2026, illustre l'ampleur du phénomène crypto-actifs que Tracfin doit surveiller.
Quelle loi a créé une présomption de blanchiment pour les crypto-actifs anonymisés ?;La loi de 1990 créant Tracfin;Le RGPD;La loi du 13 juin 2025 contre le narcotrafic;Le règlement TFR;4;Cette loi permet à Tracfin de ne plus devoir identifier l'infraction initiale dès lors que l'origine des fonds est inconnue, pour des crypto-actifs comme le Monero.
Quel type de crypto-actif est cité comme exemple de fonction d'anonymisation intégrée ?;Monero;Bitcoin;NFT;Ether;2;Le Monero est cité comme exemple de crypto-actif comportant une fonction d'anonymisation déclenchant la présomption de blanchiment.
De combien ont augmenté les transmissions concernant les atteintes aux finances publiques en 2025 ?;+17 %;+50 %;+2 %;-5 %;2;Ces transmissions représentent des enjeux financiers estimés à près de 3,2 milliards d'euros.
Quelle part des contrôles URSSAF en matière de travail dissimulé fait suite à un signalement Tracfin ?;100 %;70 %;30 %;5 %;4;Ces contrôles ont donné lieu à 470 millions d'euros de redressements en 2025.
Quel dispositif d'aide a fait l'objet d'une fermeture provisoire de guichet à l'été 2025 après détection de fraudes par Tracfin ?;L'APL;MaPrimeRénov;Le CPF;Le RSA;3;Cette fermeture provisoire a suivi un travail conjoint avec l'Anah, la DGCCRF et la DGFiP sous l'égide de la Micaf.
Depuis quelle date Tracfin peut-il adresser des informations à l'Anah en matière de fraude MaPrimeRénov ?;Depuis le 1er octobre 2025;Depuis le 7 novembre 2025;Depuis le 1er janvier 2025;Depuis le 13 juin 2025;2;Cette faculté permet à l'Anah d'orienter ses contrôles sur la base des signalements de Tracfin.
Combien de professionnels Tracfin a-t-il rencontrés via ses actions institutionnelles en 2025 ?;50 000;Une centaine;Plus de 5 000;500;4;Plus de 200 actions institutionnelles ont été menées, incluant des ateliers et des bilans bilatéraux avec les principaux déclarants.
Combien de participants a réuni le Forum Tracfin le 7 novembre 2025 ?;Une dizaine;2 000;50;Plus de 350;5;Ce forum a réuni des professionnels de la LCB-FT, des autorités de supervision et des administrations autour du gouverneur de la Banque de France.
Quel risque le gouverneur de la Banque de France a-t-il souligné lors du Forum Tracfin ?;Le risque d'une cyberattaque massive;Le risque de saturation du dispositif par des déclarations insuffisamment étayées;Le risque de faillite des banques françaises;Le risque de disparition de Tracfin;3;Il a insisté sur l'importance d'éviter une logique de derisking qui fragiliserait le principe de déclaration de soupçon.
Quelles nouvelles catégories professionnelles la loi du 13 juin 2025 assujettit-elle, au plus tard en juillet 2027 ?;Marchands de biens, promoteurs immobiliers, vendeurs de véhicules et clubs de football;Les notaires et les avocats;Les casinos et les opérateurs de jeux;Les banques et les assurances;2;Cette extension du périmètre d'assujettissement complète le dispositif LCB-FT face à de nouveaux secteurs à risque.
À partir de quelle date les lanceurs d'alerte pourront-ils saisir directement Tracfin ?;Le 1er juillet 2026;Le 23 janvier 2025;Le 13 juin 2025;Le 1er janvier 2025;2;Cette mesure de la loi contre le narcotrafic permettra à Tracfin de traiter des informations transmises directement par des particuliers, sous le cadre spécifique des lanceurs d'alerte.
Que confirme l'avis du Conseil d'État du 23 janvier 2025 ?;L'obligation déclarative ne concerne que le blanchiment caractérisé;Les notaires sont exemptés de déclaration;L'obligation déclarative porte sur les sommes issues d'une infraction et sur les opérations les concernant;Tracfin doit être supprimé;4;Cet avis, rendu en Assemblée générale, confirme l'interprétation du Gouvernement sur la portée de l'article L. 561-15 du CMF.
Où se situe le siège de l'Autorité européenne de lutte contre le blanchiment de capitaux, l'AMLA ?;Bruxelles;Francfort;Luxembourg;Paris;3;L'AMLA est entrée officiellement en fonction le 1er janvier 2025, avec un siège basé à Francfort, en Allemagne.
À partir de quelle date l'AMLA supervisera-t-elle directement certains établissements financiers à haut risque ?;Le 1er juillet 2026;Le 1er janvier 2028;Le 10 juillet 2027;Le 1er janvier 2025;3;Ce volet de supervision directe s'ajoute à la coordination des cellules de renseignement financier européennes assurée par l'AMLA dès 2025.
Quelle part des échanges internationaux de Tracfin se fait avec des cellules de renseignement financier de l'Union européenne ?;100 %;30 %;Près de 70 %;10 %;4;Les partenaires les plus fréquents sont les CRF du Luxembourg, de Belgique, d'Allemagne, d'Autriche et de Malte.
Avec quel pays Tracfin a-t-il signé un nouveau protocole de coopération (MoU) en 2025 ?;L'Allemagne;La Suisse;Le Maroc;Les États-Unis;3;Ce nouveau protocole porte à 54 le nombre total d'accords de coopération signés par Tracfin depuis sa création.
Quel outil juridique permet à Tracfin de reporter une opération financière suspecte ?;Le droit de communication;Le droit de vote;Le droit d'opposition;Le droit de préemption;4;Le droit d'opposition, initialement limité à douze heures, a été étendu à dix jours, prorogeable par le président du tribunal judiciaire de Paris.
Quel est le premier usage marquant du droit d'opposition mentionné parmi les chiffres clés 2025 ?;La saisie d'une œuvre d'art;La saisie d'un yacht;La saisie d'un aéronef;La saisie de crypto-actifs;5;Le rapport indique qu'il s'agit du premier usage du droit d'opposition pour saisir des crypto-actifs.
Quel montant d'avoirs a fait l'objet d'une demande de gel réalisée auprès d'une banque étrangère en collaboration avec une CRF partenaire ?;3 milliards d'euros;300 millions d'euros;30 millions d'euros;3 millions d'euros;3;Ce montant illustre l'ampleur de certaines affaires transnationales traitées grâce à la coopération internationale de Tracfin.
